的	白 勹 4
村	木 寸
恨	忄 艮
歌	可 可 欠
夏	夏字头 夊
猛	犭 子 皿
策	竹头 朿
执	扌 九 4
亦	亦
板	木 反字框 又
宁	宀 丁
崇	山 宀 示
忙	忄 亡
印	卬字旁 1 卩
盘	舟 皿
皇	白 ⺩
货	亻 化字边 贝
付	亻 寸
欧	匸 㐅 欠
婆	氵 皮 女
互	1 彑
略	田 各
诗	讠 寺
例	亻 歹 刂
罪	罒 非
挥	扌 冖 车
秘	禾 心 3
挂	扌 圭
唯	口 隹
决	冫 候右角 人
限	阝 艮
央	见二 大
园	囗 二 见字底
戏	又 戈
席	广 廿 巾
田	田
论	讠 全字头 匕
镇	钅 直 八
智	矢 口 日
珠	⺩ 3 未
归	师字旁 彐
蓄	贲字腰 亠 幺 田
雄	左字框 厶 隹
财	贝 于无横 3
体	亻 木 1
毫	亮字头 毛
胸	月 勹 㐅 凵
宣	宀 1 旦
预	予 页
软	车旁 欠
控	扌 穴 工
获	贲字腰 犭 犬
奥	向字框 米 大
伸	亻 申
烦	火 页
烟	火 囗 大
批	扌 比
套	大 镸
猫	犭 贲字腰 田
遇	田 禺字底 辶
震	雨头 辰
败	贝 攵
款	士 示 欠
牌	片 卑六 十
介	全字头 乔字底
姓	女 生
韩	十 日 十 韦
狗	犭 句
拍	扌 白
哈	口 合
舞	卧人 卌 1 夕 㐄
笔	竹头 毛
呆	口 木
殖	歹 直
替	夫 夫 日
街	行 圭
摆	扌 罒 土 厶
临	临字旁 临右角 临下角
托	扌 3 七
秋	禾 火
衣	衣
渐	氵 车旁 斤
单	兽字头 十
恢	忄 左字框 火
巨	匸 叚右角
尊	酋 寸
诚	讠 戊 5
凡	几 4
效	六 㐅 攵
劲	经右角 工 力
圣	又 土
搞	扌 高
梅	木 卧人 母
著	贲字腰 者
奔	大 十 廾
杯	木 不
健	亻 聿 廴
牙	牙
础	石 屮 凵
晓	日 尧字头 兀
愈	亼 青字底 刂 心
拥	扌 用
检	木 亼 应字心
怒	女 又 心
骨	骨
野	里 予
额	宀 各 页
弱	弓 冫 弓 冫
词	讠 5 同字心
赵	走 㐅
稳	禾 尔字头 彐 心
雅	牙 隹
犯	犭 㔾
洗	氵 告字头 见字底
油	氵 由
偷	亻 亼 青字底 刂
态	大 4 心
孩	子 亥
徐	彳 全字头 余字底
馆	饣 宀 㠯
悲	非 心
概	木 即字旁 旡
测	氵 贝 刂
麻	广 林
绿	纟 录字头 氺
窗	穴 囱字框 夊
厅	厂 丁
杰	木 灬
妙	女 少三 3
熟	享字头 子 九 4 灬
冒	冒字头 目
谷	谷
吉	吉
纳	纟 内
登	癶 豆
祖	礻 且
妻	妻字头 女
占	占
号	口 丂
伙	亻 火
紫	止旁 匕 糸
督	上 小 又 目
菜	贲字腰 采
透	禾 乃 辶
升	3 廾
荡	落字框 5 横两撇
戒	戈 廾
避	尸 口 辛 辶
徒	彳 走
举	学字头 共字底 举字底
啥	口 全字头 舍字底
腿	月 艮 辶
蒙	荧字头 1 豕
祝	礻 口 见字底
乃	乃
曲	曲
含	亽 5 口
灯	火 丁
骂	吅 马
均	土 勹 冫
休	亻 木
族	方 卧人 矢
监	临字旁 临右角 皿
邪	牙 阝
嘿	口 黑
巧	工 丂
聊	耳 卯
侠	亻 夫 丷
爹	八 㐅 夕 夕
输	车旁 亼 青字底 刂
桌	卢字头 日 木
温	氵 日 皿
亿	亻 6
络	纟 各
架	力 口 木
按	扌 宀 女
毒	龶 母
私	禾 厶
蒋	贲字腰 丬 夕 寸
肩	户 青字底
误	讠 口 天
扯	扌 止旁
蛋	疋 虫
伊	亻 聿三 3
减	冫 戊 同字心
虚	虍 业
抬	扌 厶 口
杜	木 土
盛	戊 5 皿
选	告字头 见字底 辶
唱	口 日 日
旧	2 日
丹	周字框 亠
闹	门 亠 巾
沉	氵 冖 几
烈	歹 刂 灬
偏	亻 户 扁字心
貌	豸 白 见字底
赖	束 尔字头 贝
魂	云 鬼无厶 厶
罢	罒 土 厶
舍	全字头 舍字底
咐	口 亻 寸
票	覀 示
弃	充字头 廾
销	钅 尚字头 青字底
顾	厂 㔾 页
献	十 冂 南字心 犬
昨	日 乍
敬	贲字腰 句 攵
丁	丁
庆	广 大
享	享字头 子
