的	白 勹 4
毯	毛 火 火
锤	钅 千 艹 二
稻	禾 爫 臼
禺	田 禺字底
虾	虫 1 卜
啤	口 卑六 十
绅	纟 申
趴	足旁 八
钧	钅 勹 冫
绵	纟 白 巾
炕	火 亠 几
粘	米 占
顷	比字旁 页
雯	雨头 文
禅	礻 兽字头 十
詹	尔字头 厂 八 訁
缅	纟 面
氢	气 经右角 工
蜡	虫 龷 日
寰	宀 罒 同字心 衣省
滞	氵 带无巾 巾
薇	贲字腰 微字框 几
隶	隶字框 氺
斧	八 㐅 斤
逛	犭 ⺩ 辶
醋	酉 龷 日
昧	日 未
澜	氵 门 束 丷
抑	扌 卬字旁 卩
稽	禾 尤 匕 日
霆	雨头 壬 廴
蕴	贲字腰 纟 日 皿
憋	㡀 攵 心
巷	龷 八 巳
溅	氵 贝 1 戈
僻	亻 尸 口 辛
膛	月 龸 口 土
凿	业 南字心 凵
喇	口 束 刂
删	册 刂
胪	月 卢字头 尸
邱	丘无横 1 阝
禧	礻 壴 口
妆	丬 女
烁	火 乐二 小
喀	口 宀 各
搅	扌 学无子 见
眷	龹 目
剿	巛 田 木 刂
呗	口 贝
砂	石 少三 3
逾	亼 青字底 刂 辶
厄	厂 㔾
蚊	虫 文
瞅	目 禾 火
蔬	贲字腰 疏字旁 充字头 荒字底
喧	口 宀 1 旦
懈	忄 角 刀 牛
揽	扌 临字旁 临右角 见
膝	月 木 全字头 氺
咨	冫 欠 口
佣	亻 用
唾	口 千 艹 二
沮	氵 且
邹	尔字头 彐 阝
绒	纟 戈 左字框
嘀	口 商字头 古
涩	氵 刀 4 止旁
矫	矢 夭 乔字底
绥	纟 爫 女
捂	扌 五 口
絮	女 口 糸
捣	扌 鸟省 山
蛛	虫 3 未
冉	冂 里无日
兀	兀
挠	扌 尧字头 兀
搁	扌 门 各
匠	匸 斤
拯	扌 5 水 1
岚	山 风省 㐅
娥	女 手 戈
莽	贲字腰 犬 廾
窘	穴 聿三 3 口
跋	足旁 尤无折 又
亨	享字头 了
堕	阝 左字框 青字底 土
霹	雨头 尸 口 辛
祁	礻 阝
泌	氵 心 3
彬	林 彡
搀	扌 免五 见字底 冬字底
矢	矢
陋	阝 丙三 亾
蜀	罒 勹 虫
茵	贲字腰 囗 大
凹	凹无横 1
雍	亠 乡 隹
煎	䒑 青字底 刂 灬
铸	钅 寿字头 寸
媛	女 爫 1 左字框 又
凳	癶 豆 几
衔	行 钅
蝴	虫 古 月
玑	⺩ 几
歹	歹
斩	车旁 斤
拙	扌 屮 凵
掐	扌 尔字头 臼
凸	凸无横 1
舵	舟 宀 匕
禄	礻 录字头 氺
桨	丬 夕 木
筷	竹头 忄 候右角 人
婶	女 宀 申
撼	扌 戊 同字心 心
晏	日 宀 女
眩	目 亠 幺
邑	口 巴
嵌	山 甘 欠
绷	纟 月 月
禀	亠 回 示
榻	木 日 羽
纺	纟 方
逮	隶字框 氺 辶
滨	氵 宀 丘无横 共字底
绞	纟 六 㐅
豁	宀 丰 口 谷
妩	女 无
舔	舌 天 恭字底
疱	疒 勹 巳
氓	亡 民
悍	忄 日 干
痪	疒 尔字头 见二 大
蹙	戊 上 小 足
颔	亽 5 口 页
噜	口 鱼 日
佟	亻 夊 冬字底
虞	虍 口 天
匕	匕
痣	疒 士 心
缕	纟 米 女
蹦	足旁 山 月 月
垮	土 大 1 丂
垒	厶 厶 厶 土
刁	5 1
诛	讠 3 未
彪	虍 几 彡
熏	千 黑
拴	扌 全字头 ⺩
澈	氵 充字头 青字底 攵
逞	口 ⺩ 辶
栖	木 西
蒜	贲字腰 示 示
琉	⺩ 充字头 荒字底
啧	口 责
吏	同字心 乂
靴	革 亻 化字边
疤	疒 巴
荫	贲字腰 阝 月
擎	贲字腰 句 攵 手
芽	贲字腰 牙
腮	月 田 心
觅	爫 见
滔	氵 爫 臼
狞	犭 宀 丁
缪	纟 羽 全字头 彡
曝	日 日 龷 八 氺
汹	氵 㐅 凵
芯	贲字腰 心
嚼	口 爫 罒 即字旁 寸
梭	木 厶 八 夊
叨	口 刀
糖	米 广 肀 口
铮	钅 尔字头 争字底
吱	口 十 又
竺	竹头 二
帜	巾 口 八
鸽	合 鸟
挚	扌 九 4 手
冶	冫 厶 口
贮	贝 宀 1
苑	贲字腰 夕 㔾
纬	纟 韦
肘	月 寸
蔷	贲字腰 土 丷 回
畴	田 寿字头 寸
禹	3 口 禺字底
咪	口 米
姗	女 册
蕊	贲字腰 心 心 心
鞍	革 宀 女
颂	八 厶 页
瘫	疒 又 隹
轼	车旁 弋 工
侈	亻 夕 夕
骏	马 厶 八 夊
扛	扌 工
昊	日 天
裘	求 衣
窍	穴 工 丂
揪	扌 禾 火
琦	⺩ 大 可
婿	女 疋 青字底
梧	木 五 口
喳	口 木 旦
朦	月 荧字头 1 豕
箫	竹头 肀 乔字底 八
淳	氵 享字头 子
踉	足旁 4 艮
侃	亻 口 荒字底
奎	大 圭
廖	广 羽 全字头 彡
沸	氵 弓 乔字底
葱	贲字腰 勹 横两撇 4 心
焕	火 尔字头 见二 大
谜	讠 米 辶
剖	立 口 刂
诵	讠 龴 甬字底
崎	山 大 可
哟	口 纟 勹 4
俘	亻 爫 子
蛟	虫 六 㐅
驯	马 川
碳	石 山 左字框 火
呕	口 匸 㐅
耿	耳 火
癌	疒 口 吅 山
沁	氵 心
冀	北字旁 匕 田 龷 八
慑	忄 耳 双
筐	竹头 匸 ⺩
沧	氵 全字头 㔾
嚣	吅 页 吅
猝	犭 亠 人 人 十
葫	贲字腰 古 月
萝	贲字腰 罒 夕
笙	竹头 生
咆	口 勹 巳
炊	火 欠
嗷	口 龶 万无横 攵
燥	火 口 吅 木
驿	马 又 举字底
讥	讠 几
颓	禾 几 页
嘤	口 贝 贝 女
竿	竹头 干
昼	尸 4 旦
溺	氵 弓 冫 弓 冫
憎	忄 曾字头 日
绰	纟 卢字头 日 十
庵	广 大 电
叭	口 八
碉	石 周字框 周字心
嘎	口 夏字头 戈
睫	目 妻字头 龰
踱	足旁 广 廿 又
揖	扌 口 耳
氧	气 羊
咏	口 4 永无点
缸	缶 工
粥	弓 米 弓
娅	女 1 业
忿	八 刀 心
玻	⺩ 皮
敝	㡀 攵
炽	火 口 八
扒	扌 八
彰	音 十 彡
宦	宀 臣
迸	丷 开 辶
弧	弓 瓜
缎	纟 段字旁 殳
绢	纟 口 青字底
渺	氵 目 少三 3
恃	忄 寺
捡	扌 亼 应字心
茹	贲字腰 女 口
涅	氵 圼
嘘	口 虍 业
蚕	天 虫
驹	马 句
匀	勹 冫
阙	门 䒑 䶹 欠
窦	穴 十 5 冬字底 大
奠	酋 大
烫	氵 5 横两撇 火
葵	贲字腰 癶 天
诬	讠 工 人 人
贬	贝 3 之
拧	扌 宀 丁
酿	酉 4 艮
螺	虫 田 糸
淌	氵 龸 口
嗳	口 爱字头 左字框 又
嗜	口 耂 匕 日
雁	厂 亻 隹
杉	木 彡
贿	贝 左字框 青字底
甸	勹 田
蓓	贲字腰 亻 立 口
扼	扌 厂 㔾
曙	日 罒 者
懊	忄 向字框 米 大
浇	氵 尧字头 兀
拭	扌 弋 工
褪	衤 艮 辶
谕	讠 亼 青字底 刂
忒	弋 心
褚	衤 者
霖	雨头 林
衲	衤 内
嗤	口 屮 1 虫
啃	口 止旁 青字底
梵	林 几 4
蝠	虫 同字心 田
麒	鹿旁 其
坪	土 干 丷
皂	白 七
遏	日 勹 亾 辶
吭	口 亠 几
皓	白 告字头 口
罡	罒 正
抿	扌 民
闺	门 圭
磊	石 石 石
邢	开 阝
笠	竹头 立
霓	雨头 臼 见字底
丙	1 内
揣	扌 山 而
噬	口 竹头 工 人 人
缚	纟 甫 寸
剔	日 勹 横两撇 刂
湛	氵 其 5
咚	口 夊 冬字底
壤	土 衣框 吅 寒字腰
譬	尸 口 辛 訁
膨	月 壴 彡
钞	钅 少三 3
铅	钅 几 口
肋	月 力
檐	木 尔字头 厂 八 訁
胤	见字底 幺 青字底
倭	亻 禾 女
瓣	辛旁 瓜 辛
绽	纟 宀 定字底
谬	讠 羽 全字头 彡
瑚	⺩ 古 月
咄	口 屮 凵
浚	氵 厶 八 夊
蔓	贲字腰 曼
瑛	⺩ 贲字腰 见二 大
夭	夭
讳	讠 韦
倔	亻 尸 屮 凵
嗦	口 索字头 糸
攒	扌 告字头 见字底 告字头 见字底 贝
虔	虍 文
栈	木 1 戈
饵	饣 耳
墅	里 予 土
汰	氵 大 4
浏	氵 文 刂
轴	车旁 由
梗	木 更
瀑	氵 日 龷 八 氺
佃	亻 田
鲍	鱼 勹 巳
莺	荧字头 鸟
犀	尸 犀字心头 牛
镑	钅 帝字头 方
潼	氵 立 里
哆	口 夕 夕
琢	⺩ 豕 4
栅	木 册
蚁	虫 4 㐅
涕	氵 丷 弟省
蝇	虫 口 电
腺	月 白 水
匿	匸 贲字腰 右
稣	鱼 禾
悸	忄 禾 子
绛	纟 夊 㐄
镶	钅 衣框 吅 寒字腰
丞	5 水 1
洽	氵 合
噩	噩字框 吅 吅
悼	忄 卢字头 日 十
琅	⺩ 4 艮
娄	米 女
拎	扌 令
庐	广 户
蚀	饣 虫
槽	木 曹字头 日
韶	音 召
翎	令 羽
兢	古 见字底 古 见字底
淇	氵 其
辕	车旁 土 口 衣省
悯	忄 门 文
沼	氵 召
恺	忄 山 己
屯	1 屯无横
揍	扌 春字头 天
芭	贲字腰 巴
菇	贲字腰 女 古
靓	龶 青字底 见
滕	月 龹 氺
漾	氵 美字头 4 永无点
匣	匸 甲
娴	女 门 木
氮	气 火 火
伽	亻 力 口
枭	鸟省 木
肇	户 攵 聿
迄	卧人 6 辶
陇	阝 龙
颖	匕 禾 页
茄	贲字腰 力 口
缀	纟 双 双
赎	贝 十 5 冬字底 大
徊	彳 回
悚	忄 束
徘	彳 非
跄	足旁 全字头 㔾
诅	讠 且
弩	女 又 弓
浊	氵 虫
谟	讠 莫
赦	土 亦字底 攵
坝	土 贝
锣	钅 罒 夕
羌	差字头 5
睦	目 土 八 土
椒	木 上 小 又
蔚	贲字腰 尸 示 寸
哮	口 耂 子
汴	氵 亠 卜
厥	厂 䒑 䶹 欠
钮	钅 5 里无日
圭	圭
缉	纟 口 耳
嗽	口 束 欠
隋	阝 左字框 工 青字底
寅	宀 1 黄字底
仕	亻 士
骼	骨 各
猾	犭 骨
笃	竹头 马
怠	厶 口 心
巍	山 禾 女 鬼无厶 厶
碱	石 戊 同字心
慷	忄 广 隶字框 氺
辫	辛旁 纟 辛
札	木 5
晁	日 见字底 冫 飞无折
庶	广 廿 灬
闽	门 虫
谴	讠 贵字头 㠯 辶
蛙	虫 圭
槐	木 鬼无厶 厶
鞘	革 尚字头 青字底
斟	其 5 斗
珞	⺩ 各
掳	扌 虍 力
撰	扌 巳 巳 龷 八
峭	山 尚字头 青字底
垦	艮 土
筝	竹头 尔字头 争字底
暧	日 爱字头 左字框 又
鞠	革 勹 米
髓	骨 左字框 工 青字底 辶
蹭	足旁 曾字头 日
悖	忄 索字头 子
雳	雨头 厂 力
氨	气 宀 女
拣	扌 东二 拣字边无七
簿	竹头 氵 甫 寸
芹	贲字腰 斤
埔	土 甫
蹬	足旁 癶 豆
廓	广 享字头 子 阝
睨	目 臼 见字底
惚	忄 勹 横两撇 心
舜	爱字头 夕 㐄
拇	扌 母
璧	尸 口 辛 玉
毋	毋
黝	黑 幺 力
砍	石 欠
瑾	⺩ 革 二
涤	氵 夊 朩
舶	舟 白
橡	木 象
晦	日 卧人 母
恤	忄 3 皿
跺	足旁 几 木
瞻	目 尔字头 厂 八 訁
聆	耳 令
诫	讠 戈 廾
袄	衤 夭
苛	贲字腰 可
腑	月 广 亻 寸
蛊	虫 皿
孜	子 攵
岑	山 亽 5
馈	饣 贵字头 贝
窒	穴 至
哽	口 更
瞩	目 尸 3 口 禺字底
蟒	虫 贲字腰 犬 廾
祟	屮 凵 示
秽	禾 山 夕
讷	讠 内
秉	禾框 聿三
叽	口 几
亢	亠 几
呛	口 全字头 㔾
珀	⺩ 白
瘤	疒 留字头 田
绊	纟 丷 举字底
棕	木 宀 示
苇	贲字腰 韦
剃	丷 弟省 刂
捶	扌 千 艹 二
渣	氵 木 旦
膳	月 羊 䒑 口
秤	禾 干 丷
睬	目 采
橙	木 癶 豆
惫	夊 田 心
臀	尸 龷 八 殳 青字底
橱	木 厂 豆 寸
屎	尸 米
荩	贲字腰 尸 4 冬字底
粟	覀 米
嚎	口 亮字头 豕
蕉	贲字腰 隹 灬
莞	贲字腰 宀 二 见字底
讼	讠 八 厶
阱	阝 井
戮	羽 全字头 彡 戈
脯	月 甫
惘	忄 冂 䒑 亡
沥	氵 厂 力
俭	亻 亼 应字心
粪	米 龷 八
棘	朿 朿
炙	然左角 火
崛	山 尸 屮 凵
朔	䒑 䶹 月
咎	夊 卜 口
唬	口 虍 几
檀	木 亠 回 旦
虏	虍 力
懦	忄 雨头 而
毙	比 歹 匕
羹	美字头 灬 美字头 大
咀	口 且
闸	门 甲
枢	木 匸 㐅
袅	鸟省 衣
憨	5 耳 攵 心
瞳	目 立 里
藕	贲字腰 二 木 田 禺字底
瑕	⺩ 叚字旁无二 二 叚右角 又
苣	贲字腰 匸 叚右角
闵	门 文
蜘	虫 矢 口
嗣	口 扁字心 5 同字心
呸	口 不 1
珂	⺩ 可
馒	饣 曼
苔	贲字腰 厶 口
绮	纟 大 可
悴	忄 亠 人 人 十
擂	扌 雨头 田
萎	贲字腰 禾 女
炳	火 1 内
钙	钅 1 卢字头 5
璋	⺩ 音 十
肾	临字旁 又 青字底
幔	巾 曼
沪	氵 户
淀	氵 宀 定字底
憔	忄 隹 灬
筱	竹头 修字旁 攵
捻	扌 亽 5 心
谆	讠 享字头 子
拌	扌 丷 举字底
嗒	口 贲字腰 合
募	莫 力
哧	口 土 亦字底
羁	罒 革 马
帧	巾 卢字头 贝
柿	木 亠 巾
怅	忄 长
虬	虫 5
绎	纟 又 举字底
樵	木 隹 灬
灶	火 土
勺	勹 4
撩	扌 大 丷 日 小
颅	卢字头 尸 页
馋	饣 免五 见字底 冬字底
宵	宀 尚字头 青字底
萱	贲字腰 宀 1 旦
庚	广 聿三 人
婕	女 妻字头 龰
靡	广 林 非
咸	戊 同字心
缆	纟 临字旁 临右角 见
溉	氵 即字旁 旡
啄	口 豕 4
偕	亻 比 白
恻	忄 贝 刂
佯	亻 羊
滤	氵 虍 心
侥	亻 尧字头 兀
噫	口 音 心
蕙	贲字腰 二 虫 心
赣	音 十 夊 工 贝
诩	讠 羽
哝	口 冖 衣省
辙	车旁 充字头 青字底 攵
霾	雨头 豸 里
踌	足旁 寿字头 寸
祀	礻 巳
漱	氵 束 欠
啷	口 4 即字旁 阝
绯	纟 非
呃	口 厂 㔾
狸	犭 里
佬	亻 耂 匕
桀	夕 㐄 木
酌	酉 勹 4
芜	贲字腰 无
攘	扌 衣框 吅 寒字腰
匡	匸 ⺩
髅	骨 米 女
邯	甘 阝
廿	廿
肴	㐅 左字框 青字底
涡	氵 口 内
垢	土 反字框 同字心
鸠	九 鸟
琵	⺩ ⺩ 比
釉	釆 由
肪	月 方
壕	土 亮字头 豕
毗	田 比
烯	火 㐅 左字框 巾
迦	力 口 辶
骷	骨 古
怦	忄 干 丷
簧	竹头 龷 黄字底
忡	忄 中
崭	山 车旁 斤
缰	纟 1 田 1 田 1
锥	钅 隹
粤	囱字框 米 丂
沌	氵 1 屯无横
沛	氵 丙三 2
渝	氵 亼 青字底 刂
萼	贲字腰 吅 1 丂
惺	忄 日 生
曳	日 5 3
蝙	虫 户 扁字心
辗	车旁 尸 龷 畏字底
迳	经右角 工 辶
徨	彳 白 ⺩
萤	荧字头 虫
藩	落字框 釆 田
晖	日 冖 车
鑫	金 金 金
抒	扌 予
栩	木 羽
卉	十 廾
隘	阝 䒑 八 皿
婪	林 女
锭	钅 宀 定字底
暄	日 宀 1 旦
帷	巾 隹
禾	禾
磅	石 帝字头 方
棱	木 土 八 夊
乒	丘无横 1 3
麾	广 林 毛
剌	束 刂
屿	山 1 5 1
殆	歹 厶 口
盔	左字框 火 皿
滇	氵 直 八
硅	石 圭
唧	口 即字旁 卩
琶	⺩ ⺩ 巴
峙	山 寺
颐	颐字旁 页
飒	立 风省 㐅
骸	骨 亥
鸾	变字头 鸟
韧	韦 刀 4
疮	疒 全字头 㔾
踹	足旁 山 而
笋	竹头 聿三 3
抡	扌 全字头 匕
篱	竹头 亠 㐅 凵 禸
鹃	口 青字底 鸟
忑	1 卜 心
癞	疒 束 尔字头 贝
炖	火 1 屯无横
扳	扌 反字框 又
萃	贲字腰 亠 人 人 十
橘	木 矛 冂 八 口
硫	石 充字头 荒字底
钳	钅 甘
搐	扌 亠 幺 田
猥	犭 田 1 畏字底
蚂	虫 马
翟	羽 隹
嫡	女 商字头 古
幌	巾 日 尚字头 兀
躇	足旁 贲字腰 者
祠	礻 5 同字心
冢	冖 豕 4
鹉	1 弋 止旁 鸟
驭	马 又
拽	扌 日 5 3
忐	上 心
窑	穴 缶
桔	木 吉
蘑	贲字腰 广 林 石
坞	土 乌
乓	丘无横 1 4
酣	酉 甘
矶	石 几
钵	钅 木 1
赃	贝 广 土
嗨	口 氵 卧人 母
隧	阝 䒑 豕省 辶
俟	亻 厶 矢
呱	口 瓜
笺	竹头 1 戈
拄	扌 4 王
嵋	山 眉字框 目
伢	亻 牙
惮	忄 兽字头 十
唰	口 尸 巾 刂
嗖	口 臼 2 又
殃	歹 见二 大
哺	口 甫
捍	扌 日 干
靳	革 斤
窖	穴 告字头 口
殴	匸 㐅 殳
涧	氵 门 日
拷	扌 耂 丂
筛	竹头 师字旁 1 巾
磷	石 米 夕 㐄
臻	至 春字头 禾
拈	扌 占
隙	阝 小 日 小
袂	衤 候右角 人
邸	卬字旁 弋二 4 阝
昕	日 斤
诃	讠 可
瞿	目 目 隹
抉	扌 候右角 人
悻	忄 土 南字心
疹	疒 全字头 彡
痹	疒 田 丌
婊	女 龶 衣省
炬	火 匸 叚右角
槛	木 临字旁 临右角 皿
狈	犭 贝
戟	十 日 十 戈
巅	山 直 八 页
彤	周字框 亠 彡
跛	足旁 皮
巳	巳
屉	尸 廿 5
懵	忄 贲字腰 罒 冖 目
皖	白 宀 二 见字底
俸	亻 春字头 举字底
隽	隹 乃
貂	豸 召
粽	米 宀 示
趾	足旁 止旁
崽	山 田 心
糙	米 告字头 口 辶
荀	贲字腰 勹 日
傍	亻 帝字头 方
忏	忄 千
鄂	吅 1 丂 阝
糗	米 自 犬
抨	扌 干 丷
唠	口 荧字头 力
筵	竹头 3 延字心无撇 廴
掰	龵 八 刀 手
蛾	虫 手 戈
铲	钅 立无横 厂
赂	贝 各
稼	禾 宀 豕
酥	酉 禾
蔼	贲字腰 讠 日 勹 亾
烙	火 各
捅	扌 龴 甬字底
诘	讠 吉
奚	爫 幺 大
霏	雨头 非
瓢	覀 示 瓜
毡	毛 占
鳌	龶 万无横 攵 鱼
笈	竹头 及
侬	亻 冖 衣省
偌	亻 贲字腰 右
蹑	足旁 耳 双
瑙	⺩ 巛 囱字框 㐅
戾	户 犬
羔	美字头 灬
邃	穴 䒑 豕省 辶
湄	氵 眉字框 目
噎	口 壳字头 豆
轧	车旁 5
骡	马 田 糸
唷	口 充字头 青字底
烘	火 龷 八
硝	石 尚字头 青字底
穗	禾 二 虫 心
孚	爫 子
岬	山 甲
遐	叚字旁无二 二 叚右角 又 辶
绚	纟 勹 日
鹦	贝 贝 女 鸟
骥	马 北字旁 匕 田 龷 八
酱	丬 夕 酉
礁	石 隹 灬
薰	贲字腰 千 黑
薯	贲字腰 罒 者
髦	髟 毛
镯	钅 罒 勹 虫
楷	木 比 白
荧	荧字头 火
煽	火 户 羽
袱	衤 亻 犬
茧	贲字腰 虫
缤	纟 宀 丘无横 共字底
墟	土 虍 业
涎	氵 3 延字心无撇 廴
屹	山 卧人 6
睿	歺头 八 全字头 目
渍	氵 责
惬	忄 匸 夫 丷
尧	尧字头 兀
跤	足旁 六 㐅
攫	扌 目 目 隹 又
甥	生 田 力
肮	月 亠 几
檬	木 荧字头 1 豕
缭	纟 大 丷 日 小
馅	饣 尔字头 臼
茗	贲字腰 夕 口
惦	忄 广 占
醇	酉 享字头 子
垄	龙 土
嬴	吂 月凡 女
蹋	足旁 日 羽
鲸	鱼 享字头 小
糜	广 林 米
囱	囱字框 夊
讪	讠 山
曜	日 羽 隹
嘈	口 曹字头 日
濒	氵 止旁 步字底 页
吝	文 口
庇	广 比
昱	日 立
蹊	足旁 爫 幺 大
翡	非 羽
淆	氵 㐅 左字框 青字底
唆	口 厶 八 夊
裔	衣 冂 八 口
怂	人 人 心
吮	口 厶 见字底
楣	木 眉字框 目
攸	修字旁 攵
奄	大 电
噤	口 林 示
贻	贝 厶 口
咝	口 丝左角 纟
冽	冫 歹 刂
烹	享字头 了 灬
腱	月 聿 廴
祗	礻 卬字旁 弋二 4
暨	即字旁 旡 旦
冗	冖 几
猖	犭 日 日
嫖	女 覀 示
嚓	口 宀 祭字头 示
珑	⺩ 龙
飓	风省 㐅 具字头 八
穹	穴 弓
碾	石 尸 龷 畏字底
簌	竹头 束 欠
骰	骨 殳
鲤	鱼 里
掺	扌 厶 大 彡
跷	足旁 尧字头 兀
赘	龶 万无横 攵 贝
俨	亻 1 业无横 厂
炫	火 亠 幺
惆	忄 周字框 周字心
钗	钅 又 4
弛	弓 也
蠕	虫 雨头 而
湍	氵 山 而
颌	合 页
褒	衣框 亻 口 木
纶	纟 全字头 匕
憧	忄 立 里
茬	贲字腰 在字框 土
蜈	虫 口 天
哒	口 大 辶
凋	冫 周字框 周字心
孰	享字头 子 九 4
瘩	疒 贲字腰 合
澎	氵 壴 彡
谤	讠 帝字头 方
戎	戈 左字框
冕	冒字头 免五 见字底
帛	白 巾
阀	门 亻 戈
辄	车旁 耳 5
嫦	女 龸 口 巾
毓	卧人 母 充字头 荒字底
槟	木 宀 丘无横 共字底
嵩	山 高
蹿	足旁 穴 中 中
煦	日 句 灬
飙	犬 犬 犬 风省 㐅
妍	女 开
亘	1 旦
鳄	鱼 吅 1 丂
渲	氵 宀 1 旦
锄	钅 且 力
噶	口 贲字腰 日 勹 亾
汀	氵 丁
漪	氵 犭 大 可
谍	讠 廿 5 木
豌	豆 宀 夕 㔾
褥	衤 辰 寸
锯	钅 尸 古
紊	文 糸
赁	亻 壬 贝
翌	羽 立
瘟	疒 日 皿
簸	竹头 其 皮
畸	田 大 可
卤	卢字头 囗 㐅
嗐	口 宀 丰 口
沂	氵 斤
嫣	女 正 1 5 灬
阖	门 土 厶 皿
亥	亥
亵	衣框 扌 九 4
盎	见二 大 皿
寥	宀 羽 全字头 彡
昵	日 尸 匕
幡	巾 釆 田
苯	贲字腰 木 1
吠	口 犬
鹊	龷 日 鸟
漩	氵 方 卧人 疋
钊	钅 刂
妊	女 壬
肛	月 工
萦	荧字头 糸
喏	口 贲字腰 右
椭	木 阝 左字框 青字底
螃	虫 帝字头 方
袒	衤 旦
铝	钅 口 口
殉	歹 勹 日
挛	变字头 手
啜	口 双 双
瞟	目 覀 示
漓	氵 亠 㐅 凵 禸
犁	禾 刂 牛
矗	直 直 直
榆	木 亼 青字底 刂
蛤	虫 合
挹	扌 口 巴
嚅	口 雨头 而
濮	氵 亻 业 差字头 4
蹒	足旁 贲字腰 1 内 人
膺	广 亻 隹 青字底
籁	竹头 束 尔字头 贝
藐	贲字腰 豸 白 见字底
夙	风省 歹
璞	⺩ 业 差字头 4
芥	贲字腰 全字头 乔字底
蜗	虫 口 内
璐	⺩ 足旁 各
隅	阝 田 禺字底
拗	扌 幺 力
蜷	虫 龹 㔾
鹫	享字头 小 尤 鸟
蕾	贲字腰 雨头 田
瞠	目 龸 口 土
芮	贲字腰 内
锈	钅 禾 乃
匾	匸 户 扁字心
阑	门 束 丷
叼	口 5 1
螂	虫 4 即字旁 阝
榕	木 宀 谷
迥	冂 口 辶
蚣	虫 八 厶
菁	贲字腰 龶 青字底
嗫	口 耳 双
铿	钅 临字旁 又 土
峦	变字头 山
迢	召 辶
崆	山 穴 工
簪	竹头 旡 旡 日
桅	木 尔字头 厂 㔾
疚	疒 久二 4
珉	⺩ 民
遽	虍 豕 辶
韬	韦 爫 臼
迂	1 于无横 辶
聿	聿
豚	月 豕
沓	水 日
渎	氵 十 5 冬字底 大
秆	禾 干
觑	虍 业 见
汛	氵 5 十
恁	亻 壬 心
藻	落字框 口 吅 木
淤	氵 方 全字头 冬字底
伎	亻 十 又
甭	不 用
褂	衤 圭 卜
咻	口 亻 木
沽	氵 古
喟	口 田 青字底
踞	足旁 尸 古
箍	竹头 扌 匸 巾
祯	礻 卢字头 贝
逵	土 八 土 辶
戊	戊
杵	木 卧人 十
瞑	目 冖 日 六
嘭	口 壴 彡
莓	贲字腰 卧人 母
铢	钅 3 未
踊	足旁 龴 甬字底
衅	3 皿 丷 举字底
洼	氵 圭
璜	⺩ 龷 黄字底
瀚	氵 十 日 十 全字头 羽
鹳	贲字腰 吅 隹 鸟
谛	讠 帝字头 巾
谏	讠 束 丷
鸥	匸 㐅 鸟
嵇	禾 尤 山
掬	扌 勹 米
麓	林 鹿
锵	钅 丬 夕 寸
睑	目 亼 应字心
痘	疒 豆
潺	氵 尸 子 子 子
赈	贝 辰
砚	石 见
伫	亻 宀 1
枷	木 力 口
妪	女 匸 㐅
蜒	虫 3 延字心无撇 廴
妲	女 旦
溥	氵 甫 寸
郅	至 阝
搔	扌 又 4 虫
咫	尸 4 口 八
饺	饣 六 㐅
匍	勹 甫
嗲	口 八 㐅 夕 夕
谑	讠 虍 虐字底
彷	彳 方
笆	竹头 巴
汾	氵 八 刀
蕃	贲字腰 釆 田
憬	忄 景
寐	宀 爿 未
汲	氵 及
腋	月 亠 亻 夜下角
甬	龴 甬字底
鲨	氵 少三 3 鱼
痰	疒 火 火
靶	革 巴
阜	3 㠯 十
梓	木 辛
矜	矛 亽 5
痉	疒 经右角 工
撮	扌 日 耳 又
榨	木 穴 乍
烬	火 尸 4 冬字底
骋	马 由 丂
疙	疒 卧人 6
酶	酉 卧人 母
磐	舟 殳 石
荃	贲字腰 全字头 ⺩
祺	礻 其
汜	氵 巳
鳖	㡀 攵 鱼
庖	广 勹 巳
砌	石 七 刀
闰	门 ⺩
籽	米 子
熔	火 宀 谷
眶	目 匸 ⺩
纣	纟 寸
嫔	女 宀 丘无横 共字底
虱	5 3 虫
岐	山 十 又
恣	冫 欠 心
锷	钅 吅 1 丂
嗟	口 差字头 工
胺	月 宀 女
磋	石 差字头 工
惰	忄 左字框 工 青字底
慵	忄 广 肀 用
谔	讠 吅 1 丂
荪	贲字腰 子 小
凇	冫 木 八 厶
筠	竹头 土 勹 冫
傀	亻 鬼无厶 厶
倌	亻 宀 㠯
靥	厂 犬 面
颚	吅 1 丂 页
啾	口 禾 火
诲	讠 卧人 母
烽	火 夊 丰
卞	亠 卜
榄	木 临字旁 临右角 见
楠	木 十 冂 南字心
梆	木 寿字头 阝
噼	口 尸 口 辛
扉	户 非
霭	雨头 讠 日 勹 亾
亟	了 口 又 1
遛	留字头 田 辶
渤	氵 索字头 子 力
喑	口 音
孺	子 雨头 而
荔	贲字腰 力 力 力
卯	卯
娼	女 日 日
玺	尔字头 小 玉
渭	氵 田 青字底
滢	氵 荧字头 玉
瞌	目 土 厶 皿
煜	火 日 立
酋	酋
掣	牛 巾 刂 手
腆	月 典字头 共字底
惴	忄 山 而
燎	火 大 丷 日 小
睐	目 未 丷
忱	忄 冖 见字底
棣	木 隶字框 氺
昙	日 云
褶	衤 羽 白
垣	土 1 旦
荼	贲字腰 全字头 余字底
琥	⺩ 虍 几
狙	犭 且
臾	臼 人
螅	虫 自 心
揩	扌 比 白
咛	口 宀 丁
汕	氵 山
