奕码·优化版 拆分表（hanzi-chai驱动，共8230字）
说明: 拆分中[xx]为PUA部件名；编码为三码全码；排名0=非top6000
------------------------------------------------------------
字	排名	频率	拆分	编码
市	254	3486206	亠·巾·巾	mfj
直	255	947691	直·直·直	nii
德	256	1987962	彳·十·心	wun
资	257	1502338	冫·欠·贝	fyq
命	258	461410	亼·口·卩	rjb
山	259	1774419	山·山·山	ess
金	260	2877847	金·金·金	tjj
指	261	1619833	扌·匕·日	hcd
克	262	1653059	古·[见字底]·[见字底]	nye
许	263	628908	讠·[卧人]·十	ifu
统	264	526688	纟·[充字头]·[见字底]	yty
区	265	3131397	匸·㐅·㐅	ahi
保	266	1244996	亻·口·木	mjs
至	267	3258212	至·至·至	rii
队	268	1328205	阝·人·人	zkr
形	269	649903	开·彡·彡	cps
社	270	815891	礻·土·土	rat
便	271	995129	亻·更·更	mkg
空	272	919032	穴·工·工	wmg
决	273	449161	冫·[候右角]·人	fak
治	274	802169	氵·厶·口	ooj
展	275	1043140	尸·龷·[畏字底]	tyc
马	276	1932861	马·马·马	umm
科	277	2231219	禾·斗·斗	wtd
司	278	1215405	乚·[同字心]·[同字心]	wme
五	279	1603314	五·五·五	nuu
基	280	1780419	其·土·土	gat
眼	281	787172	目·艮·艮	kzg
书	282	4751858	乚·乚·丶	wwz
非	283	1874768	非·非·非	dff
则	284	2381542	贝·刂·刂	qxd
听	285	1655482	口·斤·斤	jlj
白	286	1418104	白·白·白	gbb
却	287	2443927	土·厶·卩	aob
界	288	689744	田·[全字头]·[乔字底]	bkl
达	289	1848511	大·辶·辶	kod
光	290	1245099	[尚字头]·兀·兀	dwu
放	291	2388398	方·攵·攵	uyp
强	292	1974243	弓·口·虫	ljc
即	293	1457913	[即字旁]·卩·卩	zbj
像	294	2637726	亻·象·象	mox
且	295	1212211	且·且·且	uqq
难	296	1114199	又·隹·隹	rou
权	297	784602	木·又·又	sry
思	298	655679	田·心·心	bnx
王	299	2671599	⺩·⺩·⺩	vww
象	300	485968	象·象·象	oxx
完	301	1923821	宀·二·[见字底]	lty
设	302	1073140	讠·殳·殳	ibs
式	303	2058240	弋·工·工	amg
色	304	893771	[尔字头]·巴·巴	ivb
路	305	2736742	[足旁]·各·各	rdg
记	306	1290099	讠·己·己	ihj
