奕码·优化版 拆分表（hanzi-chai驱动，共8230字）
说明: 拆分中[xx]为PUA部件名；编码为三码全码；排名0=非top6000
------------------------------------------------------------
字	排名	频率	拆分	编码
粱	3599	3613	氵·刀·米	opx
嚓	3600	3178	口·宀·示	jlq
惮	3601	2584	忄·[兽字头]·十	qqu
氖	3602	2966	气·乃·乃	fvn
捎	3603	5393	扌·[尚字头]·[青字底]	hdv
羔	3604	6895	[美字头]·灬·灬	ibh
俟	3605	2897	亻·厶·矢	mof
渲	3606	5483	氵·宀·旦	olv
榄	3607	16347	木·[临字旁]·见	spe
茧	3608	13983	[贲字腰]·虫·虫	bcc
霓	3609	9910	[雨头]·臼·[见字底]	lzy
鹉	3610	1743	一·弋·鸟	eal
胥	3611	14403	疋·[青字底]·[青字底]	hvy
琶	3612	8002	⺩·⺩·巴	vvv
撬	3613	14575	扌·毛·毛	hpp
橘	3614	58526	木·矛·口	srj
拈	3615	4695	扌·占·占	hpa
笆	3616	4783	[竹头]·巴·巴	pvb
痊	3617	1605	疒·[全字头]·⺩	kkv
亟	3618	6671	了·口·一	jje
渭	3619	16705	氵·田·[青字底]	obv
狙	3620	7394	犭·且·且	luq
珂	3621	26166	⺩·可·可	vnk
刨	3622	16423	勹·巳·刂	fcx
蜕	3623	6597	虫·[兑字头]·[见字底]	cqy
谚	3624	6440	讠·[立无横]·彡	iyp
憧	3625	3078	忄·立·里	qyx
瞟	3626	4447	目·覀·示	kvq
馒	3627	4193	饣·曼·曼	nvm
拗	3628	6984	扌·幺·力	hji
帚	3629	2888	彐·冖·巾	unf
钗	3630	13687	钅·又·丶	trz
哧	3631	2216	口·土·[亦字底]	jal
喋	3632	2912	口·廿·木	jys
箫	3633	10641	[竹头]·肀·八	pqt
刁	3634	18466	乚·一·一	wei
怦	3635	799	忄·干·丷	qes
缭	3636	3866	纟·大·小	ykh
迥	3637	4739	冂·口·辶	gjo
湄	3638	13831	氵·[眉字框]·目	otk
磐	3639	14425	舟·殳·石	dbu
渝	3640	47157	氵·亼·刂	orx
冗	3641	5049	冖·几·几	nwj
闵	3642	39983	门·文·文	ecw
噶	3643	94931	口·[贲字腰]·亾	jba
黏	3644	60859	禾·[全字头]·占	wkp
蕃	3645	13777	[贲字腰]·釆·田	brb
弼	3646	19456	弓·百·弓	ldl
驿	3647	26844	马·又·[举字底]	urh
淄	3648	5879	氵·巛·田	oeb
饺	3649	46601	饣·六·㐅	nmh
踞	3650	3756	[足旁]·尸·古	rtn
韬	3651	23780	韦·爫·臼	lfz
婷	3652	91557	女·[亮字头]·丁	gui
唆	3653	2293	口·厶·夊	jor
蜒	3654	2245	虫·丿·廴	cau
偎	3655	2424	亻·田·[畏字底]	mbc
榨	3656	29240	木·穴·乍	swc
漉	3657	2258	氵·鹿·鹿	odl
碉	3658	2163	石·[周字框]·[周字心]	ugi
皈	3659	1658	白·[反字框]·又	gar
矜	3660	3356	矛·亽·乚	rfw
笈	3661	6313	[竹头]·及·及	psj
枷	3662	2498	木·力·口	sij
鲨	3663	25905	氵·[少三]·鱼	ohz
蹑	3664	844	[足旁]·耳·双	rxv
瀚	3665	27751	氵·十·羽	oun
酪	3666	25005	酉·各·各	pdg
谑	3667	1363	讠·虍·[虐字底]	isu
癖	3668	13097	疒·尸·辛	ktl
烬	3669	3282	火·尸·[冬字底]	xtf
揩	3670	3956	扌·比·白	hzg
炙	3671	12781	[然左角]·火·火	vxh
蜷	3672	6883	虫·龹·㔾	cxb
侏	3673	3144	亻·丿·未	man
凋	3674	6710	冫·[周字框]·[周字心]	fgi
漪	3675	9102	氵·犭·可	oln
悻	3676	1764	忄·土·[南字心]	qai
蹋	3677	2058	[足旁]·日·羽	rdn
讪	3678	2368	讠·山·山	ies
搐	3679	1472	扌·亠·田	hmb
碘	3680	43791	石·[典字头]·[共字底]	ugt
帛	3681	9797	白·巾·巾	gfj
诠	3682	10154	讠·[全字头]·⺩	ikv
碾	3683	27887	石·尸·[畏字底]	utc
擂	3684	6182	扌·[雨头]·田	hlb
苯	3685	62456	[贲字腰]·木·一	bse
诃	3686	5335	讠·可·可	ink
铎	3687	30999	钅·又·[举字底]	trh
戊	3688	26593	戊·戊·戊	juu
荀	3689	15716	[贲字腰]·勹·日	bfd
驹	3690	34649	马·句·句	uvj
攫	3691	1242	扌·目·又	hkr
憬	3692	3559	忄·景·景	qgj
哽	3693	1958	口·更·更	jkg
踵	3694	6702	[足旁]·千·里	rix
蟒	3695	8583	虫·[贲字腰]·廾	cbh
漾	3696	22002	氵·[美字头]·[永无点]	oii
啧	3697	3822	口·责·责	jge
吮	3698	4470	口·厶·[见字底]	joy
楠	3699	93699	木·十·[南字心]	sui
氟	3700	49758	气·弓·[乔字底]	fll
怂	3701	21845	人·人·心	kkn
叼	3702	14210	口·乚·一	jwe
竣	3703	8886	立·厶·夊	yor
偕	3704	9020	亻·比·白	mzg
漩	3705	2718	氵·方·疋	ouh
蹭	3706	53294	[足旁]·[曾字头]·日	rqd
翌	3707	9221	羽·立·立	nyl
臆	3708	2032	月·音·心	vsn
挝	3709	2786	扌·寸·辶	hpo
绚	3710	9981	纟·勹·日	yfd
崽	3711	9581	山·田·心	ebn
糜	3712	9231	广·林·米	xqx
瘢	3713	1006	疒·舟·殳	kdb
跤	3714	6368	[足旁]·六·㐅	rmh
阑	3715	4078	门·束·丷	eks
恬	3716	12728	忄·舌·舌	qms
豢	3717	2794	龹·豕·豕	xas
汶	3718	33415	氵·文·文	ocw
跷	3719	5341	[足旁]·[尧字头]·兀	rqw
琵	3720	4029	⺩·⺩·比	vvz
憨	3721	9177	乚·耳·心	wxn
蜗	3722	7194	虫·口·内	cje
螅	3723	795	虫·自·心	cxn
惴	3724	761	忄·山·而	qez
戟	3725	15029	十·日·戈	udq
匮	3726	3567	匸·[贵字头]·贝	acq
恙	3727	2802	[美字头]·心·心	inx
抿	3728	7855	扌·民·民	hdm
桢	3729	16077	木·[卢字头]·贝	spq
笺	3730	8249	[竹头]·一·戈	peq
蛤	3731	25914	虫·合·合	cqh
瞳	3732	26200	目·立·里	kyx
瓢	3733	13511	覀·示·瓜	vqa
秤	3734	21607	禾·干·丷	wes
跺	3735	3699	[足旁]·几·木	rws
潦	3736	2407	氵·大·小	okh
芹	3737	36928	[贲字腰]·斤·斤	blj
哒	3738	79722	口·大·辶	jko
饬	3739	2609	饣·[卧人]·力	nfi
栩	3740	4146	木·羽·羽	snv
曦	3741	48304	日·[美字头]·戈	diq
骷	3742	1499	骨·古·古	png
嫡	3743	15536	女·[商字头]·古	gyn
卤	3744	69111	[卢字头]·囗·㐅	pwh
丕	3745	10168	不·一·一	uei
鬓	3746	6111	髟·宀·[共字底]	rlt
梓	3747	54229	木·辛·辛	slx
嗖	3748	16327	口·臼·又	jzr
惦	3749	2012	忄·广·占	qxp
浚	3750	15539	氵·厶·夊	oor
咔	3751	9126	口·上·卜	jip
藐	3752	1838	[贲字腰]·豸·[见字底]	biy
荃	3753	11352	[贲字腰]·[全字头]·⺩	bkv
唧	3754	2817	口·[即字旁]·卩	jzb
玺	3755	23131	[尔字头]·小·玉	ihp
汛	3756	21612	氵·乚·十	owu
铐	3757	2822	钅·耂·丂	tqf
髅	3758	979	骨·米·女	pxg
渤	3759	11461	氵·[索字头]·力	ori
皿	3760	8926	皿·皿·皿	rmm
箍	3761	7515	[竹头]·扌·巾	phf
馅	3762	124503	饣·[尔字头]·臼	niz
汾	3763	16756	氵·八·刀	otp
戍	3764	8265	戊·丶·丶	jzd
痔	3765	14540	疒·寺·寺	kls
褶	3766	14892	衤·羽·白	fng
聆	3767	9530	耳·令·令	xfl
涎	3768	3443	氵·丿·廴	oau
汞	3769	22979	工·水·水	mis
渍	3770	35232	氵·责·责	oge
奂	3771	5434	[尔字头]·[见二]·大	igk
巅	3772	19793	山·直·页	enx
疣	3773	13535	疒·尤·尤	kky
傩	3774	2736	亻·又·隹	mro
逵	3775	7522	土·八·辶	ato
耆	3776	12464	耂·匕·日	qcd
蟋	3777	563	虫·釆·心	crn
鳄	3778	25423	鱼·吅·丂	zpf
讹	3779	7879	讠·亻·[化字边]	imm
膺	3780	5736	广·亻·[青字底]	xmv
蹿	3781	7977	[足旁]·穴·中	rwg
筏	3782	5861	[竹头]·亻·戈	pmq
釜	3783	10421	八·㐅·[金字底]	tht
沂	3784	14007	氵·斤·斤	olj
坯	3785	10737	土·不·一	aue
峦	3786	7842	[变字头]·山·山	aes
茬	3787	11832	[贲字腰]·[在字框]·土	bca
摒	3788	3356	扌·尸·开	htc
蟀	3789	678	虫·亠·十	cmu
撵	3790	4312	扌·夫·车	hxn
浒	3791	5578	氵·讠·十	oiu
缤	3792	17468	纟·宀·[共字底]	ylt
嵋	3793	551	山·[眉字框]·目	etk
珑	3794	8184	⺩·龙·龙	vul
苞	3795	11971	[贲字腰]·勹·巳	bfc
瑾	3796	31131	⺩·革·二	vyt
泵	3797	57844	石·水·水	uis
钾	3798	71168	钅·甲·甲	tdj
暧	3799	4293	日·[爱字头]·又	djr
赓	3800	4079	广·[聿三]·贝	xuq
叟	3801	5140	臼·丨·又	zdr
佚	3802	6876	亻·丿·夫	max
沓	3803	6682	水·日·日	idr
撂	3804	3859	扌·田·各	hbd
蛊	3805	8733	虫·皿·皿	crm
甥	3806	2427	生·田·力	tbi
璐	3807	41942	⺩·[足旁]·各	vrd
晏	3808	23645	日·宀·女	dlg
瘪	3809	11032	疒·自·匕	kxc
漳	3810	21027	氵·音·十	osu
阉	3811	3878	门·大·电	ekj
蹂	3812	1322	[足旁]·矛·木	rrs
鳃	3813	12185	鱼·田·心	zbn
琏	3814	9431	⺩·车·辶	vno
湃	3815	7669	氵·龵·丰	ohp
辘	3816	2214	[车旁]·鹿·鹿	ndl
僭	3817	2673	亻·旡·日	mad
躏	3818	335	[足旁]·[贲字腰]·隹	rbo
鼾	3819	3138	自·田·干	xbe
懵	3820	26603	忄·[贲字腰]·目	qbk
镰	3821	37156	钅·广·[兼无䒑无彐]	txl
寐	3822	5473	宀·爿·未	len
褚	3823	19663	衤·者·者	fqe
攥	3824	6927	扌·[竹头]·糸	hpz
涧	3825	15524	氵·门·日	oed
蝙	3826	3845	虫·户·[扁字心]	crg
脐	3827	23802	月·文·[乔字底]	vcl
辕	3828	3493	[车旁]·土·[衣省]	nac
涣	3829	3370	氵·[尔字头]·大	oik
杞	3830	17656	木·己·己	shj
煜	3831	22237	火·日·立	xdy
骥	3832	12635	马·[北字旁]·八	uet
傣	3833	9785	亻·[春字头]·氺	mpi
嗳	3834	1428	口·[爱字头]·又	jjr
祯	3835	19631	礻·[卢字头]·贝	rpq
酉	3836	19908	酉·酉·酉	pyy
秸	3837	3046	禾·吉·吉	wcj
捺	3838	3914	扌·大·示	hkq
瑕	3839	11029	⺩·[叚字旁无二]·又	vtr
鑫	3840	158328	金·金·金	ttt
馋	3841	33554	饣·[免五]·[冬字底]	nof
窿	3842	1819	穴·阝·生	wzt
楔	3843	5649	木·丰·大	spk
胱	3844	4803	月·[尚字头]·兀	vdw
荔	3845	19357	[贲字腰]·力·力	bii
蟆	3846	2543	虫·莫·莫	com
湍	3847	3504	氵·山·而	oez
屹	3848	9694	山·[卧人]·乙	efw
遐	3849	6141	[叚字旁无二]·二·辶	tto
轲	3850	15190	[车旁]·可·可	nnk
镯	3851	5121	钅·罒·虫	tdc
缰	3852	2283	纟·一·一	yee
桦	3853	27518	木·亻·十	smu
炖	3854	212017	火·一·[屯无横]	xey
钡	3855	4467	钅·贝·贝	tqb
羚	3856	18213	[差字头]·令·令	ifl
啬	3857	2547	土·丷·回	ase
诩	3858	4736	讠·羽·羽	inv
绯	3859	11245	纟·非·非	ydf
掖	3860	7553	扌·亠·[夜下角]	hmr
箓	3861	1313	[竹头]·[录字头]·氺	pui
涸	3862	2011	氵·囗·古	own
鸳	3863	3155	夕·㔾·鸟	tbl
塾	3864	6548	[享字头]·子·土	uya
呸	3865	11025	口·不·一	jue
抡	3866	5993	扌·[全字头]·匕	hkc
擞	3867	755	扌·米·攵	hxy
熹	3868	14081	壴·口·灬	zjb
坷	3869	3394	土·可·可	ank
瓮	3870	6910	八·厶·瓦	toz
亘	3871	5047	一·旦·旦	evd
嗟	3872	3682	口·[差字头]·工	jim
筵	3873	4646	[竹头]·丿·廴	pau
跛	3874	1934	[足旁]·皮·皮	rsp
汕	3875	14175	氵·山·山	oes
欤	3876	1243	一·乚·欠	ewy
壑	3877	5516	[歺头]·谷·土	uua
颍	3878	5350	匕·水·页	cix
溥	3879	14320	氵·甫·寸	ovp
姗	3880	9364	女·册·册	ggc
踊	3881	4881	[足旁]·龴·[甬字底]	roq
枭	3882	7178	[鸟省]·木·木	lsm
暄	3883	4299	日·宀·旦	dlv
稷	3884	6823	禾·田·夊	wbr
跚	3885	830	[足旁]·册·册	rgc
涟	3886	5459	氵·车·辶	ono
瀛	3887	11188	氵·吂·女	oag
笙	3888	18230	[竹头]·生·生	pts
滕	3889	68012	月·龹·氺	vxi
踝	3890	13874	[足旁]·田·木	rbs
贰	3891	11945	弋·二·贝	atq
瞰	3892	4147	目·乚·攵	kwy
恻	3893	1088	忄·贝·刂	qqx
嚏	3894	1850	口·[索字头]·疋	jrh
迢	3895	1331	召·辶·辶	tod
獗	3896	854	犭·厂·欠	lay
邯	3897	8087	甘·阝·阝	czf
睑	3898	11580	目·亼·[应字心]	krd
赡	3899	4491	贝·[尔字头]·訁	qiw
萦	3900	7454	[荧字头]·糸·糸	nzm
珥	3901	3018	⺩·耳·耳	vxe
酮	3902	49778	酉·冂·[同字心]	pgm
璞	3903	14549	⺩·业·丶	vlz
羹	3904	36949	[美字头]·灬·大	ibk
缄	3905	1807	纟·戊·[同字心]	yjm
晾	3906	28210	日·[享字头]·小	duh
俸	3907	4845	亻·[春字头]·[举字底]	mph
媲	3908	4910	女·[囱字框]·比	gqz
鸾	3909	10582	[变字头]·鸟·鸟	aln
恿	3910	858	龴·[甬字底]·心	oqn
蜿	3911	4288	虫·宀·㔾	clb
犊	3912	5164	牜·十·大	fuk
讷	3913	90127	讠·内·内	ien
扈	3914	9034	户·口·巴	rjv
蜈	3915	7585	虫·口·天	cjg
翟	3916	32581	羽·隹·隹	nou
藕	3917	43722	[贲字腰]·二·[禺字底]	bte
戌	3918	15596	戊·一·一	jei
蓓	3919	22859	[贲字腰]·亻·口	bmj
鋆	3920	2127	土·勹·金	aft
谩	3921	1965	讠·曼·曼	ivm
谀	3922	901	讠·臼·人	izk
卯	3923	27936	卯·卯·卯	nmm
谙	3924	5021	讠·音·音	isy
岐	3925	48020	山·十·又	eur
蝎	3926	14913	虫·日·亾	cda
荼	3927	8565	[贲字腰]·[全字头]·[余字底]	bkw
镀	3928	38340	钅·广·又	txr
椰	3929	57351	木·耳·阝	sxz
甄	3930	32484	覀·土·瓦	vaz
蟾	3931	10104	虫·[尔字头]·訁	ciw
蹊	3932	3175	[足旁]·爫·大	rfk
泞	3933	1318	氵·宀·丁	oli
撸	3934	46034	扌·鱼·日	hzd
螃	3935	5381	虫·[帝字头]·方	cyu
檬	3936	15792	木·[荧字头]·豕	sna
猓	3937	0	犭·田·木	lbs
蔷	3938	7223	[贲字腰]·土·回	bae
羲	3939	9545	[美字头]·禾·戈	iwq
瘸	3940	4763	疒·力·人	kik
蘸	3941	79648	[贲字腰]·酉·灬	bpb
蔗	3942	8127	[贲字腰]·广·灬	bxb
傀	3943	1103	亻·[鬼无厶]·厶	mbo
蚌	3944	16776	虫·丰·丰	cpf
锢	3945	1271	钅·囗·古	twn
遽	3946	1939	虍·豕·辶	sao
邃	3947	3157	穴·䒑·辶	wso
恚	3948	1633	圭·心·心	onx
皑	3949	2077	白·山·己	geh
锵	3950	4476	钅·丬·寸	tcp
簌	3951	898	[竹头]·束·欠	pky
焙	3952	11741	火·立·口	xyj
昊	3953	69519	日·天·天	dgt
鹳	3954	3992	[贲字腰]·吅·鸟	bpl
睽	3955	791	目·癶·天	ktg
刽	3956	285	[全字头]·云·刂	ktx
鳖	3957	8441	㡀·攵·鱼	myz
噎	3958	7971	口·[壳字头]·豆	jrf
呗	3959	87455	口·贝·贝	jqb
寰	3960	9306	宀·罒·[衣省]	ldc
唷	3961	3920	口·[充字头]·[青字底]	jtv
殡	3962	9889	歹·宀·[共字底]	ult
淖	3963	3669	氵·[卢字头]·十	opu
诰	3964	5463	讠·[告字头]·口	ipj
恣	3965	8505	冫·欠·心	fyn
睐	3966	13755	目·未·丷	kns
婵	3967	6718	女·[兽字头]·十	gqu
榈	3968	2526	木·门·口	sej
氦	3969	9370	气·亥·亥	fzh
靳	3970	17144	革·斤·斤	ylj
蛹	3971	9165	虫·龴·[甬字底]	coq
鸯	3972	1611	[见二]·大·鸟	gkl
惬	3973	3692	忄·匸·丷	qas
蹙	3974	2123	戊·上·足	jir
诙	3975	1368	讠·[左字框]·火	icx
眈	3976	1073	目·冖·[见字底]	kny
罡	3977	4156	罒·正·正	dce
缮	3978	4128	纟·羊·口	yij
胤	3979	20683	[见字底]·幺·[青字底]	yjv
皋	3980	15411	白·大·十	gku
蛀	3981	3973	虫·丶·王	czv
偌	3982	6712	亻·[贲字腰]·右	mbc
疵	3983	4556	疒·[止旁]·匕	kkc
绛	3984	7745	纟·夊·㐄	yrz
葆	3985	13314	[贲字腰]·亻·木	bms
黔	3986	27492	黑·亽·乚	nfw
喙	3987	11638	口·彑·[豕省]	juv
烽	3988	7235	火·夊·丰	xrp
儡	3989	634	亻·田·田	mbb
佼	3990	7599	亻·六·㐅	mmh
斓	3991	3243	文·门·丷	ces
嫔	3992	12566	女·宀·[共字底]	glt
颚	3993	7517	吅·一·页	pex
龈	3994	5684	齿·艮·艮	uzg
盅	3995	23931	中·皿·皿	grm
娓	3996	1742	女·尸·毛	gtp
坂	3997	88689	土·[反字框]·又	aar
町	3998	226524	田·丁·丁	bid
芥	3999	37074	[贲字腰]·[全字头]·[乔字底]	bkl
瘠	4000	1522	疒·冫·[青字底]	kfv
阂	4001	1083	门·亥·亥	ezh
挎	4002	3718	扌·大·丂	hkf
橇	4003	1216	木·毛·毛	spp
荟	4004	24768	[贲字腰]·[全字头]·云	bkt
啜	4005	3822	口·双·双	jvv
垛	4006	5755	土·几·木	aws
淇	4007	26904	氵·其·其	ogq
瓒	4008	4816	⺩·[告字头]·贝	vpq
篓	4009	3081	[竹头]·米·女	pxg
虱	4010	9018	乚·丿·虫	wac
跻	4011	3839	[足旁]·文·[乔字底]	rcl
龛	4012	5947	合·龙·龙	qul
蹒	4013	793	[足旁]·[贲字腰]·人	rbk
髯	4014	2683	髟·冂·[里无日]	rga
瞠	4015	839	目·龸·土	kda
痫	4016	5546	疒·门·木	kes
掂	4017	8467	扌·广·占	hxp
潼	4018	9302	氵·立·里	oyx
酰	4019	14817	酉·[告字头]·[见字底]	ppy
镁	4020	48863	钅·[美字头]·大	tik
灸	4021	21569	[久二]·丶·火	izx
腆	4022	2917	月·[典字头]·[共字底]	vgt
筱	4023	24931	[竹头]·[修字旁]·攵	pmy
谆	4024	1680	讠·[享字头]·子	iuy
骋	4025	6697	马·由·丂	uhf
壬	4026	16628	壬·壬·壬	nrr
茗	4027	19660	[贲字腰]·夕·口	btj
椋	4028	1353	木·[享字头]·小	suh
蛔	4029	1149	虫·回·回	ceh
潺	4030	2636	氵·尸·子	oty
扉	4031	5013	户·非·非	rdf
耘	4032	6313	二·木·云	tst
槟	4033	6484	木·宀·[共字底]	slt
雹	4034	4124	[雨头]·勹·巳	lfc
甬	4035	12957	龴·[甬字底]·[甬字底]	oqy
谥	4036	16229	讠·䒑·皿	isr
淞	4037	5146	氵·木·厶	oso
燎	4038	4714	火·大·小	xkh
蕙	4039	16858	[贲字腰]·二·心	btn
蚪	4040	648	虫·斗·斗	ctd
蜻	4041	2763	虫·龶·[青字底]	cpv
郸	4042	4189	[兽字头]·十·阝	quz
轶	4043	11930	[车旁]·丿·夫	nax
狰	4044	711	犭·[尔字头]·[争字底]	lic
楣	4045	4241	木·[眉字框]·目	stk
捋	4046	8436	扌·爫·寸	hfp
涓	4047	4029	氵·口·[青字底]	ojv
荪	4048	4263	[贲字腰]·子·小	byh
娄	4049	30076	米·女·女	xgn
麝	4050	4047	鹿·身·寸	dxp
蚤	4051	4557	又·丶·虫	rzc
薰	4052	21291	[贲字腰]·千·黑	bin
醮	4053	4465	酉·隹·灬	pob
搪	4054	4057	扌·广·口	hxj
谧	4055	4781	讠·心·皿	inr
湮	4056	1169	氵·覀·土	ova
辍	4057	6154	[车旁]·双·双	nvv
瞌	4058	1161	目·土·皿	kar
梆	4059	1925	木·[寿字头]·阝	spz
樟	4060	26283	木·音·十	ssu
茉	4061	15242	[贲字腰]·末·末	bqm
岖	4062	1054	山·匸·㐅	eah
臼	4063	8990	臼·臼·臼	zjj
癣	4064	19802	疒·鱼·羊	kzi
穑	4065	931	禾·土·回	wae
玷	4066	1022	⺩·占·占	vpa
馍	4067	26397	饣·莫·莫	nom
呷	4068	4855	口·甲·甲	jdj
萼	4069	8543	[贲字腰]·吅·丂	bpf
妩	4070	2321	女·无·无	gau
伫	4071	1907	亻·宀·一	mle
彤	4072	55627	[周字框]·亠·彡	gmp
莓	4073	36484	[贲字腰]·[卧人]·母	bft
岬	4074	5049	山·甲·甲	edj
媛	4075	60473	女·爫·又	gfr
惆	4076	891	忄·[周字框]·[周字心]	qgi
鳎	4077	2748	鱼·日·羽	zdn
啾	4078	1568	口·禾·火	jwx
囔	4079	1269	口·[囊字头]·[衣省]	jrc
蜓	4080	4113	虫·壬·廴	cnu
孺	4081	5065	子·[雨头]·而	ylz
徇	4082	1405	彳·勹·日	wfd
徵	4083	6560	[微字框]·⺩·⺩	wvw
焊	4084	23728	火·日·干	xde
岱	4085	22082	亻·弋·山	mae
昵	4086	5266	日·尸·匕	dtc
卅	4087	5043	卅·卅·卅	bcc
飙	4088	25246	犬·犬·㐅	zzh
邙	4089	577	亡·阝·阝	azf
痞	4090	8575	疒·不·口	kuj
隼	4091	14803	隹·十·十	ous
恫	4092	382	忄·冂·[同字心]	qgm
怆	4093	682	忄·[全字头]·㔾	qkb
桀	4094	6751	夕·㐄·木	tzs
绶	4095	9251	纟·[爱字头]·又	yjr
裆	4096	6691	衤·[尚字头]·彐	fdu
盂	4097	6250	一·[于无横]·皿	eur
桧	4098	8082	木·[全字头]·云	skt
蚓	4099	2909	虫·弓·丨	cld
抠	4100	35665	扌·匸·㐅	hah
嗷	4101	7167	口·龶·攵	jpy
槌	4102	9932	木·丿·辶	sao
痘	4103	57733	疒·豆·豆	kfd
痢	4104	4730	疒·禾·刂	kwx
芮	4105	22572	[贲字腰]·内·内	ben
蚣	4106	713	虫·八·厶	cto
闩	4107	1589	门·一·一	eei
铿	4108	6644	钅·[临字旁]·土	tpa
飓	4109	1537	[风省]·㐅·八	wht
疱	4110	6270	疒·勹·巳	kfc
蝌	4111	724	虫·禾·斗	cwt
撅	4112	8743	扌·厂·欠	hay
蚯	4113	816	虫·[丘无横]·一	cle
斡	4114	4199	十·日·斗	udt
窠	4115	1543	穴·田·木	wbs
荚	4116	7444	[贲字腰]·夫·丷	bxs
耷	4117	2551	大·耳·耳	kxe
砚	4118	15919	石·见·见	uej
牒	4119	2084	片·廿·木	eys
赈	4120	2524	贝·辰·辰	qzc
煦	4121	7638	日·句·灬	dvb
嗫	4122	760	口·耳·双	jxv
耙	4123	7611	二·木·巴	tsv
榕	4124	28820	木·宀·谷	slu
鞑	4125	938	革·大·辶	yko
袤	4126	1407	[衣框]·矛·矛	crm
谌	4127	6338	讠·其·乚	igw
醺	4128	1582	酉·千·黑	pin
秆	4129	6557	禾·干·干	weg
徨	4130	1935	彳·白·⺩	wgv
橹	4131	2569	木·鱼·日	szd
翡	4132	21515	非·羽·羽	dnv
缨	4133	6518	纟·贝·女	yqg
锹	4134	3973	钅·禾·火	twx
嵇	4135	3488	禾·尤·山	wke
圪	4136	1598	土·[卧人]·乙	afw
髻	4137	6192	髟·吉·吉	rcj
嗬	4138	968	口·[贲字腰]·可	jbn
辎	4139	1646	[车旁]·巛·田	neb
痣	4140	29635	疒·士·心	kzn
娩	4141	4789	女·[免五]·[见字底]	goy
谄	4142	1131	讠·[尔字头]·臼	iiz
蛐	4143	450	虫·曲·曲	cmq
鹞	4144	2934	爫·缶·鸟	fbl
翱	4145	3372	白·大·羽	gkn
庖	4146	1485	广·勹·巳	xfc
籁	4147	3793	[竹头]·束·贝	pkq
蓿	4148	541	[贲字腰]·宀·百	bld
鳗	4149	16955	鱼·曼·曼	zvm
疟	4150	5113	疒·[虐字底]·[虐字底]	kuw
鲇	4151	3625	鱼·占·占	zpa
嚅	4152	185	口·[雨头]·而	jlz
瘀	4153	17940	疒·方·[冬字底]	kuf
颔	4154	2411	亽·乚·页	fwx
黜	4155	1868	黑·屮·凵	nyk
黠	4156	1165	黑·吉·吉	ncj
濑	4157	65448	氵·束·贝	okq
馁	4158	2251	饣·爫·女	nfg
洵	4159	7290	氵·勹·日	ofd
忐	4160	1175	上·心·心	inx
忑	4161	1282	一·卜·心	epn
砥	4162	3526	石·[卬字旁]·丶	unz
咂	4163	2310	口·匸·巾	jaf
罹	4164	4500	罒·忄·隹	dqo
糠	4165	14251	米·广·氺	xxi
匝	4166	7575	匸·巾·巾	afj
偃	4167	4819	亻·匸·女	mag
淙	4168	1410	氵·宀·示	olq
纫	4169	1928	纟·刀·丶	ypz
喏	4170	5000	口·[贲字腰]·右	jbc
闾	4171	5653	门·口·口	ejj
祛	4172	44694	礻·土·厶	rao
蛰	4173	7331	扌·九·虫	huc
腼	4174	849	月·面·面	vlm
涝	4175	11106	氵·[荧字头]·力	oni
曜	4176	23712	日·羽·隹	dno
厩	4177	1848	厂·[即字旁]·旡	aza
疽	4178	1731	疒·且·且	kuq
闰	4179	13017	门·⺩·⺩	evw
洄	4180	2523	氵·回·回	oeh
煊	4181	4949	火·宀·旦	xlv
汐	4182	20642	氵·夕·夕	otx
藓	4183	15401	[贲字腰]·鱼·羊	bzi
璜	4184	7618	⺩·龷·[黄字底]	vyh
铬	4185	35963	钅·各·各	tdg
渥	4186	7698	氵·尸·至	otr
靼	4187	449	革·旦·旦	yvd
酗	4188	1707	酉·㐅·凵	phk
苓	4189	18299	[贲字腰]·令·令	bfl
噤	4190	850	口·林·示	jqq
咫	4191	2040	尸·丶·八	tzt
椿	4192	16560	木·[春字头]·日	spd
鲫	4193	6628	鱼·[即字旁]·卩	zzb
锭	4194	8217	钅·宀·[定字底]	tlh
罔	4195	3733	冂·䒑·亡	gsa
锺	4196	3647	钅·千·里	tix
匍	4197	952	勹·甫·甫	fvf
祗	4198	3866	礻·[卬字旁]·丶	rnz
锰	4199	15863	钅·子·皿	tyr
岌	4200	1885	山·及·及	esj
馀	4201	0	饣·[全字头]·[余字底]	nkw
畹	4202	1538	田·宀·㔾	blb
糯	4203	81492	米·[雨头]·而	xlz
胫	4204	6073	月·[经右角]·工	vrm
熠	4205	6423	火·羽·白	xng
銮	4206	13459	[变字头]·金·金	atj
沅	4207	11021	氵·二·[见字底]	oty
棣	4208	6240	木·[隶字框]·氺	sci
旌	4209	4406	方·[卧人]·生	uft
豌	4210	5750	豆·宀·㔾	flb
孢	4211	13526	子·勹·巳	yfc
镭	4212	6825	钅·[雨头]·田	tlb
驸	4213	734	马·亻·寸	ump
腌	4214	56005	月·大·电	vkj
盹	4215	2445	目·一·[屯无横]	key
熵	4216	21200	火·[商字头]·口	xyj
镐	4217	10660	钅·高·高	tig
馐	4218	959	饣·[差字头]·[里无日]	nia
嘤	4219	1683	口·贝·女	jqg
癞	4220	1765	疒·束·贝	kkq
骰	4221	2710	骨·殳·殳	pbs
韭	4222	14143	非·一·一	dei
阖	4223	2194	门·土·皿	ear
