# 奕码优化版 拆分表 (官方拆分 100% 保真, 根名为主根字符)
的	白 勹 4
崭	山 车 斤
鞘	革 龸 月
鞠	革 勹 米
垦	艮 土
洽	氵 合
唾	口 千 艹 二
橱	木 厂 豆 寸
仕	亻 士
蜘	虫 矢 口
痰	疒 火 火
袜	衣 末
峙	山 寺
柬	束 丷
蝉	虫  十
蟹	角 刀 牛 虫
谏	言 束 丷
鹃	口 月 鸟
擎	艹 句 夂 手
皓	白 牛 口
朕	月 丷 天
疤	疒 巴
禺	田 内
铲	金 立 厂
酶	酉 气 母
钝	金 1 屮
氓	亡 民
匣	匚 甲
弧	弓 瓜
峨	山 手 戈
锥	金 隹
揪	手 禾 火
杠	木 工
吭	口 亠 几
崛	山 尸 屮 冂
诬	言 工 人 人
冉	冂 土
抒	手 予
庚	广 彐 人
悍	心 日 干
靡	广 林 非
晦	日 气 母
醋	酉 廿 日
壕	土 高 豕
锯	金 尸 古
夭	天
咦	口 大 弓
侈	亻 夕 夕
婢	女  十
猾	犬 骨
徘	彳 非
硝	石 龸 月
煽	火 户 羽
皂	白 七
舵	舟 宀 匕
嗦	口  纟
狈	犬 贝
靴	革 亻 匕
捂	手 五 口
疮	疒 人 卩
郝	土 业 耳
苛	艹 可
秽	禾 山 夕
茜	艹 西
搓	手 羊 工
芸	艹 云
酱	片 夕 酉
赁	亻 王 贝
檐	木 角 厂 八 言
饷	食  口
蕉	艹 隹 火
铀	金 由
苔	艹 厶 口
赦	土 业 夂
缎	纟 手 殳
舷	舟 亠 幺
筷	竹 心 匚 人
朔	丷 屮 月
婪	林 女
紊	文 纟
厮	厂 其 斤
婿	女 疋 月
寥	宀 羽 人 彡
兢	古 儿 古 儿
糙	米 牛 口 辶
卦	圭 卜
槐	木  厶
扒	手 八
裴	非 衣
祀	示 巳
埔	土 甫
絮	女 口 纟
芭	艹 巴
屉	尸 廿 5
痪	疒 角 冂 大
霄	雨 龸 月
绽	纟 宀 疋
宵	宀 龸 月
邑	口 巴
霖	雨 林
岔	八 刀 山
饵	食 耳
茄	艹 力 口
韧	韦 刀 4
琪	王 其
邹	角 彐 耳
瑚	王 古 月
憋	㡀 夂 心
殆	歹 厶 口
噜	口 鱼 日
忒	弋 心
忿	八 刀 心
衅	3 皿 丷 手
淳	氵 高 子
悖	心  子
髦	长 毛
孜	子 夂
粤	 米 丂
隘	耳 丷 八 皿
濒	氵 止 小 页
铮	金 角 聿
畸	田 大 可
剔	日 勹 彡 刀
坞	土 乌
篱	竹 亠 乂 冂 内
淀	氵 宀 疋
蓦	莫 马
唬	口 虍 几
锣	金 四 夕
汀	氵 丁
趾	足 止
缉	纟 口 耳
嫦	女 龸 口 巾
斟	其 5 斗
鞍	革 宀 女
扳	手 厂 又
拴	手 人 王
诅	言 且
谟	言 莫
呃	口 厂 卩
懦	心 雨 而
逞	口 王 辶
犁	禾 刀 牛
忏	心 千
拧	手 宀 丁
亥	亥
佟	亻 夂 冫
叱	口 匕
舜	 夕 㐄
绊	纟 丷 手
龚	龙 廿 八
腮	月 田 心
邸	卯 七 4 耳
椒	木 上 小 又
蔚	艹 尸 示 寸
湛	氵 其 5
狩	犬 宀 寸
眶	目 匚 王
栈	木 1 戈
薇	艹 彳 几
肮	月 亠 几
瀑	氵 日 廿 八 水
渣	氵 木 旦
褂	衣 圭 卜
叽	口 几
臀	尸 廿 八 殳 月
妞	女 5 土
巍	山 禾 女  厶
唔	口 五 口
疚	疒 角 4
鲤	鱼 里
戎	戈 右
肇	户 夂 聿
笃	竹 马
辙	车 云 月 夂
娴	女 门 木
阮	耳 二 儿
札	木 5
懊	心  米 大
焘	丰 寸 火
恤	心 3 皿
疹	疒 人 彡
潇	氵 艹 聿  八
铝	金 口 口
涤	氵 夂 木
恃	心 寺
喽	口 米 女
砌	石 七 刀
遁	厂 十 目 辶
楞	木 四 方
阱	耳 井
咎	夂 卜 口
洼	氵 圭
炳	火 1 内
噬	口 竹 工 人 人
枫	木 几 乂
拷	手 者 丂
哆	口 夕 夕
矶	石 几
苇	艹 韦
翩	户 册 羽
窒	穴 至
侬	亻 冖 衣
靶	革 巴
胰	月 大 弓
芜	艹 无
辫	辛 纟 辛
嚎	口 高 豕
妾	立 女
幌	巾 日 龸 兀
踉	足 4 艮
佃	亻 田
葫	艹 古 月
皖	白 宀 二 儿
拽	手 日 5 3
滤	氵 虍 心
睬	目 采
俞	合 月 刀
匕	匕
谤	言 立 方
嗤	口 屮 1 虫
捍	手 日 干
孵	卵 爪 子
倪	亻 臼 儿
瘾	疒 耳 角 彐 心
敝	㡀 夂
匡	匚 王
磋	石 羊 工
绫	纟 土 八 夂
淆	氵 乂 右 月
尧	戈 兀
蕊	艹 心 心 心
烘	火 廿 八
璋	王 音 十
亢	亠 几
轧	车 5
赂	贝 各
蝗	虫 白 王
榆	木 合 月 刀
骏	马 厶 八 夂
诛	言 3 未
勺	勹 4
梵	林 几 4
炽	火 口 八
笠	竹 立
颌	合 页
闸	门 甲
狒	犬 弓 
樊	林 乂 乂 大
镕	金 宀 谷
垢	土 厂 
瘟	疒 日 皿
缪	纟 羽 人 彡
菇	艹 女 古
琦	王 大 可
剃	丷  刀
迸	丷 开 辶
溺	氵 弓 冫 弓 冫
炫	火 亠 幺
惚	心 勹 彡 心
嗨	口 氵 气 母
陨	耳 口 贝
赃	贝 广 土
羁	四 革 马
臻	至 丰 禾
嘀	口 立 古
膳	月 羊 丷 口
赣	音 十 夂 工 贝
踌	足 丰 寸
殉	歹 勹 日
桔	木 吉
瞿	目 目 隹
闽	门 虫
豚	月 豕
掺	手 厶 大 彡
沌	氵 1 屮
惰	心 右 工 月
喳	口 木 旦
椭	木 耳 右 月
咪	口 米
霎	雨 立 女
侃	亻 口 川
猝	犬 亠 人 人 十
窖	穴 牛 口
戮	羽 人 彡 戈
祠	示 5 
瞩	目 尸 3 口 内
菁	艹 丰 月
躇	足 艹 者
佬	亻 者 匕
肋	月 力
咄	口 屮 冂
忡	心 中
雍	亠 乡 隹
忱	心 冖 儿
蕾	艹 雨 田
跄	足 人 卩
硅	石 圭
伎	亻 十 又
炊	火 欠
钊	金 刀
蝠	虫  田
屎	尸 米
拭	手 弋 工
谛	言 立 巾
褪	衣 艮 辶
丞	5 水 1
卉	十 艹
隧	耳 丷 豕 辶
茸	艹 耳
钳	金 甘
啃	口 止 月
伢	亻 牙
闺	门 圭
舔	舌 天 小
蹬	足 八 豆
挛	亦 手
眺	目 儿 冫 冫
袱	衣 亻 犬
陇	耳 龙
殴	匚 乂 殳
柿	木 亠 巾
梧	木 五 口
惺	心 日 生
弛	弓 也
侥	亻 戈 兀
琛	王 冖 八 木
捅	手 厶 用
酝	酉 云
薯	艹 四 者
曳	日 5 3
澈	氵 云 月 夂
锈	金 禾 乃
稠	禾 冂 吉
眸	目 厶 牛
咆	口 勹 巳
簧	竹 廿 由
鸥	匚 乂 鸟
疡	疒 5 彡
渎	氵 十 5 冫 大
汲	氵 及
嬉	女 壴 口
脓	月 冖 衣
骡	马 田 纟
穗	禾 二 虫 心
槛	木 刀 竹 皿
拎	手 令
巳	巳
邢	开 耳
廿	廿
搀	手 象 儿 冫
曙	日 四 者
樵	木 隹 火
隅	耳 田 内
筛	竹 刀 1 巾
谒	言 日 勹 亡
倭	亻 禾 女
痹	疒 田 兀
猖	犬 日 日
佯	亻 羊
肛	月 工
奚	爪 幺 大
甭	不 用
抨	手 干 丷
蛾	虫 手 戈
唠	口  力
荧	 火
嵩	山 高
漱	氵 束 欠
酋	酋
攘	手 衣 吅 井
诘	言 吉
篡	竹 目 大 厶
睿	歹 八 人 目
噩	王 吅 吅
怅	心 长
盎	冂 大 皿
徙	彳 止 疋
鞅	革 冂 大
漓	氵 亠 乂 冂 内
祟	屮 冂 示
睫	目 聿 疋
攸	亻 夂
翎	令 羽
呛	口 人 卩
筐	竹 匚 王
堑	车 斤 土
檀	木 亠 吅 旦
寅	宀 1 由
磊	石 石 石
驭	马 又
惘	心 冂 丷 亡
吠	口 犬
驮	马 大
瑙	王 川  乂
炬	火 匚 匚
痉	疒 又 工
曝	日 日 廿 八 水
恺	心 山 己
胺	月 宀 女
萤	 虫
敕	束 夂
筝	竹 角 聿
幡	巾 采 田
霹	雨 尸 口 辛
竺	竹 二
烙	火 各
毗	田 比
鸠	九 鸟
埠	土 3 吅 十
蒜	艹 示 示
阜	3 吅 十
嘈	口  日
乒	斤 1 3
帷	巾 隹
啄	口 豕 4
鳌	丰 刀 夂 鱼
毡	毛 占
阙	门 丷 屮 欠
褥	衣 辰 寸
搔	手 又 4 虫
笋	竹 彐 3
冕	日 象 儿
狞	犬 宀 丁
韶	音 召
骼	骨 各
蔼	艹 言 日 勹 亡
烹	高 了 火
奄	大 电
嫖	女 西 示
沐	氵 木
噗	口 业 羊 4
岑	山 令 5
蛟	虫 六 乂
掳	手 虍 力
咏	口 4 水
弩	女 又 弓
捻	手 令 5 心
圃	囗 甫
孚	爪 子
悴	心 亠 人 人 十
诣	言 匕 日
呱	口 瓜
祁	示 耳
捶	手 千 艹 二
钠	金 内
袄	衣 天
澎	氵 壴 彡
氮	气 火 火
恪	心 各
雏	角 彐 隹
撮	手 日 耳 又
堰	土 匚 日 女
彷	彳 方
鹦	贝 贝 女 鸟
晖	日 冖 车
犀	尸 水 牛
腑	月 广 亻 寸
沽	氵 古
橄	木 5 耳 夂
掐	手 角 臼
亵	衣 手 九 4
龋	齿 3 口 内
嗒	口 艹 合
咀	口 且
祺	示 其
锚	金 艹 田
匾	匚 户 册
乓	斤 1 4
萃	艹 亠 人 人 十
贻	贝 厶 口
揖	手 口 耳
觑	虍 业 见
吝	文 口
憔	心 隹 火
羌	羊 5
诲	言 气 母
砾	石 卯 小
蠕	虫 雨 而
肴	乂 右 月
撩	手 大 丷 日 小
坍	土 冂 亠
酥	酉 禾
袅	鸟 衣
黝	黑 幺 力
俾	亻  十
嫣	女 正 1 5 火
穹	穴 弓
秧	禾 冂 大
妊	女 王
溉	氵 艮 无
鹊	廿 日 鸟
聿	聿
疙	疒 气 6
蘑	艹 广 林 石
睾	3 四 土 羊
楷	木 比 白
酵	酉 者 子
茹	艹 女 口
锌	金 辛
滇	氵 直 八
辗	车 尸 廿 衣
纂	竹 目 大 纟
圭	圭
幔	巾 曼
褒	衣 亻 口 木
揍	手 丰 天
诽	言 非
倔	亻 尸 屮 冂
腓	月 非
颉	吉 页
锄	金 且 力
嗔	口 直 八
磺	石 廿 由
攒	手 牛 儿 牛 儿 贝
瘩	疒 艹 合
雳	雨 厂 力
吆	口 幺
悚	心 束
墩	土 高 子 夂
彝	彐 米 纟 艹
囱	 夂
逍	龸 月 辶
辄	车 耳 5
桅	木 角 厂 卩
俨	亻 1 业 厂
纶	纟 人 匕
悸	心 禾 子
殃	歹 冂 大
帧	巾 卜 贝
俐	亻 禾 刀
绮	纟 大 可
袒	衣 旦
籽	米 子
孰	高 子 九 4
愫	心 丰 纟
拌	手 丷 手
橙	木 八 豆
暨	艮 无 旦
敖	丰 刀 夂
赘	丰 刀 夂 贝
抉	手 匚 人
淤	氵 方 人 冫
剌	束 刀
娼	女 日 日
顼	王 页
葵	艹 八 天
哝	口 冖 衣
酣	酉 甘
麓	林 鹿
钵	金 木 1
琅	王 4 艮
簸	竹 其 皮
禾	禾
铢	金 3 未
璧	尸 口 辛 玉
娠	女 辰
彗	丰 丰 彐
惋	心 宀 夕 卩
腋	月 亠 亻 夂
螂	虫 4 艮 耳
阪	耳 厂 又
掣	牛 巾 刀 手
劾	亥 力
沥	氵 厂 力
粱	氵 刀 八 米
嚓	口 宀 八 示
惮	心  十
氖	气 乃
捎	手 龸 月
羔	羊 火
俟	亻 厶 矢
渲	氵 宀 1 旦
榄	木 刀 竹 见
茧	艹 虫
霓	雨 臼 儿
鹉	1 弋 止 鸟
胥	疋 月
琶	王 王 巴
撬	手 毛 毛 毛
橘	木 矛 冂 八 口
拈	手 占
笆	竹 巴
痊	疒 人 王
亟	了 口 又 1
渭	氵 田 月
狙	犬 且
珂	王 可
刨	勹 巳 刀
蜕	虫  儿
谚	言 立 厂 彡
憧	心 立 里
瞟	目 西 示
馒	食 曼
拗	手 幺 力
帚	彐 冖 巾
钗	金 又 4
哧	口 土 业
喋	口 廿 5 木
箫	竹 聿  八
刁	5 1
怦	心 干 丷
缭	纟 大 丷 日 小
迥	冂 口 辶
湄	氵 尸 目
磐	舟 殳 石
渝	氵 合 月 刀
冗	冖 几
闵	门 文
噶	口 艹 日 勹 亡
黏	禾 人 水 占
蕃	艹 采 田
弼	弓 百 弓
驿	马 又 手
淄	氵 川 田
饺	食 六 乂
踞	足 尸 古
韬	韦 爪 臼
婷	女 高 丁
唆	口 厶 八 夂
蜒	虫 3 止 廴
偎	亻 田 1 衣
榨	木 穴 乍
漉	氵 鹿
碉	石 冂 吉
皈	白 厂 又
矜	矛 令 5
笈	竹 及
枷	木 力 口
鲨	氵 小 3 鱼
蹑	足 耳 双
瀚	氵 十 日 十 人 羽
酪	酉 各
谑	言 虍 彐
癖	疒 尸 口 辛
烬	火 尸 4 冫
揩	手 比 白
炙	月 火
蜷	虫 夫 卩
侏	亻 3 未
凋	冫 冂 吉
漪	氵 犬 大 可
悻	心 土 羊
蹋	足 日 羽
讪	言 山
搐	手 亠 幺 田
碘	石 册 八
帛	白 巾
诠	言 人 王
碾	石 尸 廿 衣
擂	手 雨 田
苯	艹 木 1
诃	言 可
铎	金 又 手
戊	戊
荀	艹 勹 日
驹	马 句
攫	手 目 目 隹 又
憬	心 景
哽	口 更
踵	足 千 里
蟒	虫 艹 犬 艹
漾	氵 羊 4 水
啧	口 责
吮	口 厶 儿
楠	木 十 冂 羊
氟	气 弓 
怂	人 人 心
叼	口 5 1
竣	立 厶 八 夂
偕	亻 比 白
漩	氵 方 气 疋
蹭	足  日
翌	羽 立
臆	月 音 心
挝	手 寸 辶
绚	纟 勹 日
崽	山 田 心
糜	广 林 米
瘢	疒 舟 殳
跤	足 六 乂
阑	门 束 丷
恬	心 舌
豢	夫 豕
汶	氵 文
跷	足 戈 兀
琵	王 王 比
憨	5 耳 夂 心
蜗	虫 口 内
螅	虫 自 心
惴	心 山 而
戟	十 日 十 戈
匮	匚 虫 贝
恙	羊 心
抿	手 民
桢	木 卜 贝
笺	竹 1 戈
蛤	虫 合
瞳	目 立 里
瓢	西 示 瓜
秤	禾 干 丷
跺	足 几 木
潦	氵 大 丷 日 小
芹	艹 斤
哒	口 大 辶
饬	食 气 力
栩	木 羽
曦	日 羊 禾 丂 戈
骷	骨 古
嫡	女 立 古
卤	卜 囗 乂
丕	不 1
鬓	长 宀 斤 八
梓	木 辛
嗖	口 臼 2 又
惦	心 广 占
浚	氵 厶 八 夂
咔	口 上 卜
藐	艹 豸 白 儿
荃	艹 人 王
唧	口 艮 卩
玺	角 小 玉
汛	氵 5 十
铐	金 者 丂
髅	骨 米 女
渤	氵  子 力
皿	皿
箍	竹 手 匚 巾
馅	食 角 臼
汾	氵 八 刀
戍	戊 4
痔	疒 寺
褶	衣 羽 白
聆	耳 令
涎	氵 3 止 廴
汞	工 水
渍	氵 责
奂	角 冂 大
巅	山 直 八 页
疣	疒 尤
傩	亻 又 隹
逵	土 八 土 辶
耆	者 匕 日
蟋	虫 采 心
鳄	鱼 吅 1 丂
讹	言 亻 匕
膺	广 亻 隹 月
蹿	足 穴 中 中
筏	竹 亻 戈
釜	八 乂 金
沂	氵 斤
坯	土 不 1
峦	亦 山
茬	艹 右 土
摒	手 尸 丷 开
蟀	虫 亠 幺 冫 冫 十
撵	手 夫 夫 车
浒	氵 言 气 十
缤	纟 宀 斤 八
嵋	山 尸 目
珑	王 龙
苞	艹 勹 巳
瑾	王 革 二
泵	石 水
钾	金 甲
暧	日  右 又
赓	广 彐 人 贝
叟	臼 2 又
佚	亻 3 夫
沓	水 日
撂	手 田 各
蛊	虫 皿
甥	生 田 力
璐	王 足 各
晏	日 宀 女
瘪	疒 自 人 匕
漳	氵 音 十
阉	门 大 电
蹂	足 矛 木
鳃	鱼 田 心
琏	王 车 辶
湃	氵 手 1 丰
辘	车 鹿
僭	亻 无 无 日
躏	足 艹 门 隹
鼾	自 田 兀 干
懵	心 艹 四 冖 目
镰	金 广 丷 彐 业
寐	宀 片 未
褚	衣 者
攥	手 竹 目 大 纟
涧	氵 门 日
蝙	虫 户 册
脐	月 文 
辕	车 土 口 衣
涣	氵 角 冂 大
杞	木 己
煜	火 日 立
骥	马 片 匕 田 廿 八
傣	亻 丰 水
嗳	口  右 又
祯	示 卜 贝
酉	酉
秸	禾 吉
捺	手 大 示
瑕	王 尸 二 匚 又
鑫	金 金 金
馋	食 象 儿 冫
窿	穴 耳 夂 1 生
楔	木 丰 刀 大
胱	月 龸 兀
荔	艹 力 力 力
蟆	虫 莫
湍	氵 山 而
屹	山 气 6
遐	尸 二 匚 又 辶
轲	车 可
镯	金 四 勹 虫
缰	纟 1 田 1 田 1
桦	木 亻 匕 十
炖	火 1 屮
钡	金 贝
羚	羊 令
啬	土 丷 吅
诩	言 羽
绯	纟 非
掖	手 亠 亻 夂
箓	竹 彐 水
涸	氵 囗 古
鸳	夕 卩 鸟
塾	高 子 九 4 土
呸	口 不 1
抡	手 人 匕
擞	手 米 女 夂
熹	壴 口 火
坷	土 可
瓮	八 厶 瓦
亘	1 旦
嗟	口 羊 工
筵	竹 3 止 廴
跛	足 皮
汕	氵 山
欤	1 5 1 欠
壑	歹 谷 又 土
颍	匕 水 页
溥	氵 甫 寸
姗	女 册
踊	足 厶 用
枭	鸟 木
暄	日 宀 1 旦
稷	禾 田 八 夂
跚	足 册
涟	氵 车 辶
瀛	氵 亡  女
笙	竹 生
滕	月 夫 水
踝	足 田 木
贰	弋 二 贝
瞰	目 5 耳 夂
恻	心 贝 刀
嚏	口  田 疋
迢	召 辶
獗	犬 厂 丷 屮 欠
邯	甘 耳
睑	目 合 龸
赡	贝 角 厂 八 言
萦	 纟
珥	王 耳
酮	酉 冂 
璞	王 业 羊 4
羹	羊 火 羊 大
缄	纟 戊 
晾	日 高 小
俸	亻 丰 手
媲	女  乂 比
鸾	亦 鸟
恿	厶 用 心
蜿	虫 宀 夕 卩
犊	牛 十 5 冫 大
讷	言 内
扈	户 口 巴
蜈	虫 口 天
翟	羽 隹
藕	艹 二 木 田 内
戌	戊 1
蓓	艹 亻 立 口
鋆	土 勹 冫 金
谩	言 曼
谀	言 臼 人
卯	卯
谙	言 音
岐	山 十 又
蝎	虫 日 勹 亡
荼	艹 人 禾
镀	金 广 廿 又
椰	木 耳 耳
甄	西 土 瓦
蟾	虫 角 厂 八 言
蹊	足 爪 幺 大
泞	氵 宀 丁
撸	手 鱼 日
螃	虫 立 方
檬	木  1 豕
猓	犬 田 木
蔷	艹 土 丷 吅
羲	羊 禾 丂 戈
瘸	疒 力 口 内 人
蘸	艹 酉 隹 火
蔗	艹 广 廿 火
傀	亻  厶
蚌	虫 丰
锢	金 囗 古
遽	虍 豕 辶
邃	穴 丷 豕 辶
恚	圭 心
皑	白 山 己
锵	金 片 夕 寸
簌	竹 束 欠
焙	火 立 口
昊	日 天
鹳	艹 吅 隹 鸟
睽	目 八 天
刽	人 云 刀
鳖	㡀 夂 鱼
噎	口  豆
呗	口 贝
寰	宀 四  衣
唷	口 云 月
殡	歹 宀 斤 八
淖	氵 卜 日 十
诰	言 牛 口
恣	冫 欠 心
睐	目 未 丷
婵	女  十
榈	木 门 口 口
氦	气 亥
靳	革 斤
蛹	虫 厶 用
鸯	冂 大 鸟
惬	心 匚 夫 丷
蹙	戊 上 小 足
诙	言 右 火
眈	目 冖 儿
罡	四 正
缮	纟 羊 丷 口
胤	儿 幺 月
皋	白 大 十
蛀	虫 4 王
偌	亻 艹 右
疵	疒 止 匕
绛	纟 夂 㐄
葆	艹 亻 口 木
黔	黑 令 5
喙	口 彐 豕
烽	火 夂 丰
儡	亻 田 田 田
佼	亻 六 乂
斓	文 门 束 丷
嫔	女 宀 斤 八
颚	吅 1 丂 页
龈	齿 艮
盅	中 皿
娓	女 尸 毛
坂	土 厂 又
町	田 丁
芥	艹 人 
瘠	疒 冫 冫 人 月
阂	门 亥
挎	手 大 1 丂
橇	木 毛 毛 毛
荟	艹 人 云
啜	口 双 双
垛	土 几 木
淇	氵 其
瓒	王 牛 儿 牛 儿 贝
篓	竹 米 女
虱	5 3 虫
跻	足 文 
龛	合 龙
蹒	足 艹 1 内 人
髯	长 冂 土
瞠	目 龸 口 土
痫	疒 门 木
掂	手 广 占
潼	氵 立 里
酰	酉 牛 儿
镁	金 羊 大
灸	角 4 火
腆	月 册 八
筱	竹 亻 夂
谆	言 高 子
骋	马 由 丂
壬	王
茗	艹 夕 口
椋	木 高 小
蛔	虫 吅
潺	氵 尸 子 子 子
扉	户 非
耘	二 木 云
槟	木 宀 斤 八
雹	雨 勹 巳
甬	厶 用
谥	言 丷 八 皿
淞	氵 木 八 厶
燎	火 大 丷 日 小
蕙	艹 二 虫 心
蚪	虫 斗
蜻	虫 丰 月
郸	 十 耳
轶	车 3 夫
狰	犬 角 聿
楣	木 尸 目
捋	手 爪 寸
涓	氵 口 月
荪	艹 子 小
娄	米 女
麝	鹿 身 寸
蚤	又 4 虫
薰	艹 千 黑
醮	酉 隹 火
搪	手 广 聿 口
谧	言 心 3 皿
湮	氵 西 土
辍	车 双 双
瞌	目 土 厶 皿
梆	木 丰 耳
樟	木 音 十
茉	艹 末
岖	山 匚 乂
臼	臼
癣	疒 鱼 羊
穑	禾 土 丷 吅
玷	王 占
馍	食 莫
呷	口 甲
萼	艹 吅 1 丂
妩	女 无
伫	亻 宀 1
彤	冂 亠 彡
莓	艹 气 母
岬	山 甲
媛	女 爪 1 右 又
惆	心 冂 吉
鳎	鱼 日 羽
啾	口 禾 火
囔	口  吅 井 衣
蜓	虫 王 廴
孺	子 雨 而
徇	彳 勹 日
徵	彳 王
焊	火 日 干
岱	亻 弋 山
昵	日 尸 匕
卅	艹
飙	犬 犬 犬 几 乂
邙	亡 耳
痞	疒 不 口
隼	隹 十
恫	心 冂 
怆	心 人 卩
桀	夕 㐄 木
绶	纟  又
裆	衣 龸 彐
盂	1 十 皿
桧	木 人 云
蚓	虫 弓 2
抠	手 匚 乂
嗷	口 丰 刀 夂
槌	木 3 吅 辶
痘	疒 豆
痢	疒 禾 刀
芮	艹 内
蚣	虫 八 厶
闩	门 1
铿	金 刀 又 土
飓	几 乂 且 八
疱	疒 勹 巳
蝌	虫 禾 斗
撅	手 厂 丷 屮 欠
蚯	虫 斤 1
斡	十 日 十 人 斗
窠	穴 田 木
荚	艹 夫 丷
耷	大 耳
砚	石 见
牒	片 廿 5 木
赈	贝 辰
煦	日 句 火
嗫	口 耳 双
耙	二 木 巴
榕	木 宀 谷
鞑	革 大 辶
袤	衣 矛
谌	言 其 5
醺	酉 千 黑
秆	禾 干
徨	彳 白 王
橹	木 鱼 日
翡	非 羽
缨	纟 贝 贝 女
锹	金 禾 火
嵇	禾 尤 山
圪	土 气 6
髻	长 吉
嗬	口 艹 亻 可
辎	车 川 田
痣	疒 士 心
娩	女 象 儿
谄	言 角 臼
蛐	虫 曲
鹞	爪 缶 鸟
翱	白 大 十 羽
庖	广 勹 巳
籁	竹 束 角 贝
蓿	艹 宀 亻 百
鳗	鱼 曼
疟	疒 彐
鲇	鱼 占
嚅	口 雨 而
瘀	疒 方 人 冫
颔	令 5 口 页
黜	黑 屮 冂
黠	黑 吉
濑	氵 束 角 贝
馁	食 爪 女
洵	氵 勹 日
忐	上 心
忑	1 卜 心
砥	石 卯 七 4
咂	口 匚 巾
罹	四 心 隹
糠	米 广 聿 水
匝	匚 巾
偃	亻 匚 日 女
淙	氵 宀 示
纫	纟 刀 4
喏	口 艹 右
闾	门 口 口
祛	示 土 厶
蛰	手 九 4 虫
腼	月 面
涝	氵  力
曜	日 羽 隹
厩	厂 艮 无
疽	疒 且
闰	门 王
洄	氵 吅
煊	火 宀 1 旦
汐	氵 夕
藓	艹 鱼 羊
璜	王 廿 由
铬	金 各
渥	氵 尸 至
靼	革 旦
酗	酉 乂 冂
苓	艹 令
噤	口 林 示
咫	尸 4 口 八
椿	木 丰 日
鲫	鱼 艮 卩
锭	金 宀 疋
罔	冂 丷 亡
锺	金 千 里
匍	勹 甫
祗	示 卯 七 4
锰	金 子 皿
岌	山 及
馀	食 人 禾
畹	田 宀 夕 卩
糯	米 雨 而
胫	月 又 工
熠	火 羽 白
銮	亦 金
沅	氵 二 儿
棣	木 聿 水
旌	方 气 生
豌	豆 宀 夕 卩
孢	子 勹 巳
镭	金 雨 田
驸	马 亻 寸
腌	月 大 电
盹	目 1 屮
熵	火 立 八 口
镐	金 高
馐	食 羊 5 土
嘤	口 贝 贝 女
癞	疒 束 角 贝
骰	骨 殳
韭	非 1
阖	门 土 厶 皿
瞑	目 冖 日 六
裨	衣  十
宕	宀 石
戾	户 犬
镌	金 隹 乃
溟	氵 冖 日 六
牍	片 十 5 冫 大
隽	隹 乃
婊	女 丰 衣
鹄	牛 口 鸟
埂	土 更
拄	手 4 王
娲	女 口 内
虬	虫 5
萱	艹 宀 1 旦
啵	口 氵 皮
蠡	彐 豕 虫 虫
芋	艹 1 十
胭	月 囗 大
豺	豸 十 3
啻	立 巾 口
褛	衣 米 女
蛆	虫 且
柠	木 宀 丁
掰	手 八 刀 手
篆	竹 彐 豕
倌	亻 宀 吅
咛	口 宀 丁
蛭	虫 至
谡	言 田 八 夂
荨	艹 彐 寸
莞	艹 宀 二 儿
澹	氵 角 厂 八 言
纭	纟 云
潞	氵 足 各
郅	至 耳
弋	弋
飕	几 乂 臼 2 又
螳	虫 龸 口 土
胄	由 月
蟑	虫 音 十
猥	犬 田 1 衣
宓	宀 心 3
昙	日 云
锏	金 门 日
蟠	虫 采 田
柑	木 甘
烯	火 乂 右 巾
匐	勹  田
濮	氵 亻 业 羊 4
蟮	虫 羊 丷 口
祐	示 右
仄	厂 人
偈	亻 日 勹 亡
蜃	辰 虫
箴	竹 戊 
粼	米 夕 㐄 川
嗥	口 白 大 十
褴	衣 刀 竹 皿
蕨	艹 厂 丷 屮 欠
蓟	艹 鱼 刀
圩	土 1 十
孪	亦 子
杳	木 日
魇	厂 犬  厶
荤	 车
诿	言 禾 女
簪	竹 无 无 日
氲	气 日 皿
摞	手 田 纟
飒	立 几 乂
镂	金 米 女
舀	爪 臼
夙	几 歹
臧	戊 臣
蒿	艹 高
貂	豸 召
蜥	虫 木 斤
蹩	㡀 夂 足
噼	口 尸 口 辛
钛	金 大 4
钚	金 不
獾	犬 艹 吅 隹
濂	氵 广 丷 彐 业
铠	金 山 己
皙	木 斤 白
霭	雨 言 日 勹 亡
鲈	鱼 卜 尸
叵	匚 口
霾	雨 豸 里
泯	氵 民
碴	石 木 旦
鸵	鸟 宀 匕
峪	山 谷
饕	口 丂 虍 几 食
瘁	疒 亠 人 人 十
睢	目 隹
鬃	长 宀 示
迩	角 小 辶
纣	纟 寸
夔	丷 自 止 巳 八 夂
垠	土 艮
饨	食 1 屮
榭	木 身 寸
隍	耳 白 王
娑	氵 小 3 女
篝	竹 井 冂 土
榔	木 4 艮 耳
洌	氵 歹 刀
浜	氵 斤 八
鲑	鱼 圭
谔	言 吅 1 丂
汩	氵 日
浣	氵 宀 二 儿
舐	舌 卯 七
瞭	目 大 丷 日 小
忻	心 斤
咻	口 亻 木
鹑	高 子 鸟
唑	口 人 人 土
懋	林 矛 心
皎	白 六 乂
诒	言 厶 口
麾	广 林 毛
辏	车 丰 天
氐	卯 七 4
冽	冫 歹 刀
箕	竹 其
俚	亻 里
汴	氵 亠 卜
宸	宀 辰
芍	艹 勹 4
捱	手 厂 圭
摈	手 宀 斤 八
摺	手 羽 白
簦	竹 八 豆
箔	竹 氵 白
